славянск,россия	Slavyansk-na-Kubani
великооктябрьский,россия	Velikooktyabrsky
селенгинск,россия	Selenginsk
сургут,россия	Surgut
графский берег,россия	Grafsky_Bereg
ливны,россия	Livny
чита,россия	Chita,_Zabaykalsky_Krai
заларинский район,россия	Zalarinsky_District
русско-полянский район,россия	Russko-Polyansky_District
саргатское,россия	Sargatskoye
богучанский район,россия	Boguchansky_District
кирово-чепецкий район,россия	Kirovo-Chepetsky_District
шебекинский район,россия	Shebekinsky_District
макаров,россия	Makarov,_Russia
борисоглебский,россия	Borisoglebsky,_Murmansk_Oblast
лермонтов,россия	Lermontov_(town)
суровикинский район,россия	Surovikinsky_District
троснянский район,россия	Trosnyansky_District
армизонский район,россия	Armizonsky_District
камышин,россия	Kamyshin
лебяжий,россия	Lebyazhye,_Lomonosovsky_District,_Leningrad_Oblast
чан-ручей,россия	Chan-Ruchey
сосновый бор,россия	Sosnovy_Bor,_Sebezhsky_District,_Pskov_Oblast
булунский улус,россия	Bulunsky_District
нефтеюганский район,россия	Nefteyugansky_District
владивосток,россия	Vladivostok
новозыбковский район,россия	Novozybkovsky_District
лужский район,россия	Luzhsky_District
камышловский район,россия	Kamyshlovsky_District
сальмиярви,россия	Salmiyarvi
витим,россия	Vitim,_Sakha_Republic
хайыр,россия	Khayyr
даниловский район,россия	Danilovsky_District,_Yaroslavl_Oblast
кюсюр,россия	Kyusyur
малоархангельск,россия	Maloarkhangelsk,_Oryol_Oblast
нижний одес,россия	Nizhny_Odes
вологда,россия	Vologda
кедровый,россия	Kedrovy,_Tomsk_Oblast
беловский район,россия	Belovsky_District,_Kursk_Oblast
чаинский район,россия	Chainsky_District
мариинский посад,россия	Mariinsky_Posad
техтюр,россия	Tyokhtyur,_Khangalassky_District,_Sakha_Republic
агидель,россия	Agidel
елецкий,россия	Yeletsky,_Komi_Republic
вознесенский район,россия	Voznesensky_District
дивеевский район,россия	Diveyevsky_District
хатын-сыс,россия	Khatyn-Sysy
налимск,россия	Nalimsk
белорецк,россия	Beloretsk
ивановский область,россия	Ivanovo_Oblast
энгя-сайылыга,россия	Engya-Sayylyga
волгодонск,россия	Volgodonsk
нефтекамск,россия	Neftekamsk
тепло-огаревский район,россия	Tyoplo-Ogaryovsky_District
ударник,россия	Udarnik,_Sakha_Republic
одинцовский район,россия	Odintsovsky_District
мач,россия	Macha,_Russia
конаковский район,россия	Konakovsky_District
дегтярск,россия	Degtyarsk
грязовец,россия	Gryazovets
максатиха,россия	Maksatikha
тулун,россия	Tulun
нижнедевицкий район,россия	Nizhnedevitsky_District
краснощелие,россия	Krasnoshchelye
тамбовский область,россия	Tambov_Oblast
болотнинский район,россия	Bolotninsky_District
михалкино,россия	Mikhalkino
ермоловый,россия	Yermolovo,_Sakha_Republic
район измайлово,россия	Izmaylovo_District
локня,россия	Loknya,_Pskov_Oblast
видяево,россия	Vidyayevo
хатыстыр,россия	Khatystyr
артем,россия	Artyom,_Russia
калачинский район,россия	Kalachinsky_District
тасеевский район,россия	Taseyevsky_District
партизанский район,россия	Partizansky_District,_Krasnoyarsk_Krai
Кырыкый,россия	Kyrykyy
вожега,россия	Vozhega
духовщина,россия	Dukhovshchina,_Smolensk_Oblast
горный,россия	Gorny,_Zabaykalsky_Krai
аллах-юнь,россия	Allakh-Yun
бессоновский район,россия	Bessonovsky_District
дюпсить,россия	Dyupsya
астрамьево,россия	Astramyevo
байкит,россия	Baykit
володарск,россия	Volodarsk,_Russia
новосокольнический район,россия	Novosokolnichesky_District
кашин,россия	Kashin_(town)
моршанский район,россия	Morshansky_District
лабинск,россия	Labinsk
кирс,россия	Kirs,_Russia
зима,россия	Zima_(town)
набережная челн,россия	Naberezhnye_Chelny
краснокамск,россия	Krasnokamsk
верхний максаковка,россия	Verkhnyaya_Maksakovka
новороссийск,россия	Novorossiysk
сазоновый,россия	Sazonovo,_Chagodoshchensky_District,_Vologda_Oblast
лакинск,россия	Lakinsk
одесский район,россия	Odessky_District
бярийе,россия	Byariye
ковровский район,россия	Kovrovsky_District
правокубанский,россия	Pravokubansky
тюмень,россия	Tyumen
нижневартовск,россия	Nizhnevartovsk
кулун-елбют,россия	Kulun-Yelbyut
волоколамск,россия	Volokolamsk
подпорожский район,россия	Podporozhsky_District
республика марья эл,россия	Mari_El
таборинский район,россия	Taborinsky_District
слюдянский район,россия	Slyudyansky_District
бор,россия	Bor,_Turukhansky_District,_Krasnoyarsk_Krai
усть-катав,россия	Ust-Katav
пущино,россия	Pushchino
курганинск,россия	Kurganinsk
троицкий район,россия	Troitsky_District,_Chelyabinsk_Oblast
гусь-хрустальный,россия	Gus-Khrustalny_(town)
комаричский район,россия	Komarichsky_District
краснознаменск,россия	Krasnoznamensk,_Moscow_Oblast
киришский район,россия	Kirishsky_District
панинский район,россия	Paninsky_District
лазарев,россия	Lazarev,_Russia
гаврилов-яма,россия	Gavrilov-Yam
седкыркещ,россия	Sedkyrkeshch
кердюген,россия	Kerdyugen
губкинский,россия	Gubkinsky_(town)
шелехов,россия	Shelekhov
бейдинг,россия	Beydinga
новоаннинский район,россия	Novoanninsky_District
горнозаводск,россия	Gornozavodsk,_Sakhalin_Oblast
тетрино,россия	Tetrino
нижнетавдинский район,россия	Nizhnetavdinsky_District
мульда,россия	Mulda,_Russia
елец,россия	Yelets
шахта,россия	Shakhty
баханай,россия	Bakhanay
чулымский район,россия	Chulymsky_District
кувандык,россия	Kuvandyk
козловка,россия	Kozlovka,_Kozlovsky_District,_Chuvash_Republic
кустур,россия	Kustur
крест-кытыл,россия	Krest-Kytyl
зея,россия	Zeya,_Russia
усть-миля,россия	Ust-Mil
гуково,россия	Gukovo
наволока,россия	Navoloki,_Ivanovo_Oblast
новошахтинск,россия	Novoshakhtinsk
тонгул,россия	Tongulakh
зеленодольск,россия	Zelenodolsk,_Republic_of_Tatarstan
синявина,россия	Sinyavino,_Leningrad_Oblast
гагинский район,россия	Gaginsky_District
гвардейск,россия	Gvardeysk
цимлянск,россия	Tsimlyansk
санкт-петербург,россия	Saint_Petersburg
тамбовский район,россия	Tambovsky_District,_Tambov_Oblast
холмогорский район,россия	Kholmogorsky_District
синск,россия	Sinsk
бырам,россия	Byrama
заозерск,россия	Zaozyorsk
липка,россия	Lipki,_Kireyevsky_District,_Tula_Oblast
северск,россия	Seversk
ручей,россия	Ruchyi,_Murmansk_Oblast
нижнеудинск,россия	Nizhneudinsk
ишим,россия	Ishim,_Tyumen_Oblast
иенгр,россия	Iyengra
жемчужный,россия	Zhemchuzhnaya
сурский район,россия	Sursky_District
хворостянский район,россия	Khvorostyansky_District
приводино,россия	Privodino
тихвин,россия	Tikhvin
кежемский,россия	Kezhemsky_(rural_locality)
нычал,россия	Nychalakh
чебаркульский район,россия	Chebarkulsky_District
новотроицк,россия	Novotroitsk
ульяновский район,россия	Ulyanovsky_District,_Ulyanovsk_Oblast
сюльдюкар,россия	Syuldyukar
омутнинский район,россия	Omutninsky_District
подюга,россия	Podyuga
ашинский  район,россия	Ashinsky_District
таксить,россия	Taksimo
щукозеро,россия	Shchukozero
саныяхта,россия	Sanyyakhtakh
володарский район,россия	Volodarsky_District,_Nizhny_Novgorod_Oblast
новозавидовский,россия	Novozavidovsky
багратионовский район,россия	Bagrationovsky_District
олений губа,россия	Olenya_Guba_(rural_locality)
авиапорт,россия	Aviaport,_Olyokminsky_District,_Sakha_Republic
лухский район,россия	Lukhsky_District
ахтубинск,россия	Akhtubinsk
егорьевск,россия	Yegoryevsk
пролетарск,россия	Proletarsk,_Rostov_Oblast
усинск,россия	Usinsk
хайысард,россия	Khayysardakh
пинега,россия	Pinega
дергачевский район,россия	Dergachyovsky_District
чамча,россия	Chamcha
верхний уфалей,россия	Verkhny_Ufaley
куокунать,россия	Kuokunu
чай,россия	Chay,_Sakha_Republic
томский район,россия	Tomsky_District
иркутский район,россия	Irkutsky_District
шебекино,россия	Shebekino
обозерский,россия	Obozersky
можга,россия	Mozhga
шенкурск,россия	Shenkursk
железноводск,россия	Zheleznovodsk
мелеуз,россия	Meleuz
перелюбский район,россия	Perelyubsky_District
оймяконский улус,россия	Oymyakonsky_District
килиер,россия	Kiliyer
базарносызганский район,россия	Bazarnosyzgansky_District
северный,россия	Severny,_Komi_Republic
люберцы,россия	Lyubertsy
нестеровский район,россия	Nesterovsky_District
бурановый,россия	Buranovo,_Udmurt_Republic
чермоз,россия	Chyormoz
курчатов,россия	Kurchatov,_Russia
рыткучи,россия	Rytkuchi
сафоново,россия	Safonovo,_Safonovsky_District,_Smolensk_Oblast
трудовой,россия	Trudovaya
мытищи,россия	Mytishchi
мичуринский район,россия	Michurinsky_District
благоев,россия	Blagoyevo
духовщинский район,россия	Dukhovshchinsky_District
волот,россия	Volot,_Volot_Settlement,_Volotovsky_District,_Novgorod_Oblast
тверская область,россия	Tver_Oblast
топка,россия	Topki_(town),_Kemerovo_Oblast
бард,россия	Barda,_Perm_Krai
апапельгино,россия	Apapelgino
гатчина,россия	Gatchina
далыр,россия	Dalyr
палласовский район,россия	Pallasovsky_District
абдулино,россия	Abdulino
москва,россия	Moscow
лешуконское,россия	Leshukonskoye
терский-орловский маяк,россия	Tersko-Orlovsky_Mayak
ольский район,россия	Olsky_District
советский район,россия	Sovetsky_District,_Saratov_Oblast
лазаревский внутригородской район,россия	Lazarevsky_City_District
североуральск,россия	Severouralsk
чернышковский район,россия	Chernyshkovsky_District
новосильский район,россия	Novosilsky_District
аргаяшский район,россия	Argayashsky_District
знаменский район,россия	Znamensky_District,_Tambov_Oblast
шахунья,россия	Shakhunya
пестравский район,россия	Pestravsky_District
тымп,россия	Tympy
тимашевск,россия	Timashyovsk
шиловский район,россия	Shilovsky_District
юрьев-польский район,россия	Yuryev-Polsky_District
путеец,россия	Puteyets
чановский район,россия	Chanovsky_District
молодежный,россия	Molodyozhny,_Moscow_Oblast
абинск,россия	Abinsk
хоринец,россия	Khorintsy
пушкино,россия	Pushkino,_Pushkinsky_District,_Moscow_Oblast
сие,россия	Sim,_Chelyabinsk_Oblast
сергиев посад,россия	Sergiyev_Posad
кюль,россия	Kyul
новоселовский район,россия	Novosyolovsky_District
бондарский район,россия	Bondarsky_District
железногорский район,россия	Zheleznogorsky_District
бек,россия	Byokyo
каргат,россия	Kargat
натор,россия	Natora
чеченский республика,россия	Chechnya
шуя,россия	Shuya,_Ivanovo_Oblast
магарас,россия	Magaras
сунтар,россия	Suntar_(rural_locality)
первомайск,россия	Pervomaysk,_Nizhny_Novgorod_Oblast
мончегорск,россия	Monchegorsk
нижнеудинский район,россия	Nizhneudinsky_District
апрелевка,россия	Aprelevka
барыш,россия	Barysh
арсеньево,россия	Arsenyevo,_Arsenyevsky_District,_Tula_Oblast
окоемовка,россия	Okoyemovka
пяйв,россия	Pyayve
май,россия	May,_Verkhnevilyuysky_District,_Sakha_Republic
гавриловский район,россия	Gavrilovsky_District
рогнединский район,россия	Rognedinsky_District
ясногорский район,россия	Yasnogorsky_District
ярцевский район,россия	Yartsevsky_District
малосердобинский район,россия	Maloserdobinsky_District
нюя северный,россия	Nyuya_Severnaya
янтарный,россия	Yantarny
радченко,россия	Radchenko_(urban-type_settlement)
саяногорск,россия	Sayanogorsk
усольский район,россия	Usolsky_District,_Irkutsk_Oblast
старый ладога,россия	Staraya_Ladoga
едей,россия	Yedey,_Nyurbinsky_District,_Sakha_Republic
орто-нахар,россия	Orto-Nakhara
нахар,россия	Nakhara
орто-сурт,россия	Orto-Surt
яковлевский район,россия	Yakovlevsky_District,_Belgorod_Oblast
всеволожский район,россия	Vsevolozhsky_District
кинельский район,россия	Kinelsky_District
шуйский район,россия	Shuysky_District
узловой,россия	Uzlovaya
себеж,россия	Sebezh
эхирит-булагатский район,россия	Ekhirit-Bulagatsky_District
харабалинский  район,россия	Kharabalinsky_District
балтийск,россия	Baltiysk
потьма,россия	Potma,_Zubovo-Polyansky_District,_Republic_of_Mordovia
ялуторовск,россия	Yalutorovsk
глазуновский район,россия	Glazunovsky_District
каменногорск,россия	Kamennogorsk
зашеек,россия	Zasheyek,_Murmansk_Oblast
тимкин,россия	Timkino
алданский улус,россия	Aldansky_District
звездный городок,россия	Zvyozdny_gorodok_(urban-type_settlement)
екатериновский район,россия	Yekaterinovsky_District
духовницкий район,россия	Dukhovnitsky_District
быранаттал,россия	Byranattalakh
сурск,россия	Sursk
кировград,россия	Kirovgrad
ершовский район,россия	Yershovsky_District
домново,россия	Domnovo
таганрог,россия	Taganrog
сланцевский район,россия	Slantsevsky_District
никифоровский район,россия	Nikiforovsky_District
чухломский район,россия	Chukhlomsky_District
верхнеландеховский район,россия	Verkhnelandekhovsky_District
усманский район,россия	Usmansky_District
пестяковский район,россия	Pestyakovsky_District
ирбитский район,россия	Irbitsky_District
нариманов,россия	Narimanov,_Astrakhan_Oblast
кюндядя,россия	Kyundyade
фаленский район,россия	Falyonsky_District
ермаковский район,россия	Yermakovsky_District
старомайнский район,россия	Staromaynsky_District
ленинкент,россия	Leninkent,_Makhachkala,_Republic_of_Dagestan
шадринский район,россия	Shadrinsky_District
сысерть,россия	Sysert
руза,россия	Ruza,_Ruzsky_District,_Moscow_Oblast
клинский район,россия	Klinsky_District
ялуторовский район,россия	Yalutorovsky_District
сафоновский район,россия	Safonovsky_District
тикси,россия	Tiksi
пионерский,россия	Pionersky,_Kaliningrad_Oblast
зиминский район,россия	Ziminsky_District
вичуга,россия	Vichuga
новоорский район,россия	Novoorsky_District
новодеревеньковский район,россия	Novoderevenkovsky_District
бисер,россия	Biser,_Russia
антоновка,россия	Antonovka,_Sakha_Republic
усть-чаркы,россия	Ust-Charky
пировский район,россия	Pirovsky_District
нарткала,россия	Nartkala
бал,россия	Bala,_Russia
буй,россия	Buy,_Kostroma_Oblast
луткун,россия	Lutkun
архангельский область,россия	Arkhangelsk_Oblast
ставропольский район,россия	Stavropolsky_District
таштагол,россия	Tashtagol
саянск,россия	Sayansk
тлюстенхабль,россия	Tlyustenkhabl
карасук,россия	Karasuk,_Novosibirsk_Oblast
тайшет,россия	Tayshet
порховский район,россия	Porkhovsky_District
чистоозерный район,россия	Chistoozyorny_District
сергач,россия	Sergach
саранск,россия	Saransk
Кыйы,россия	Kyyy
нюксеница,россия	Nyuksenitsa
пустошкинский район,россия	Pustoshkinsky_District
угранский район,россия	Ugransky_District
зарайский район,россия	Zaraysky_District
лумбовка,россия	Lumbovka
шахтерск,россия	Shakhtyorsk
ломоносовский район,россия	Lomonosovsky_District,_Leningrad_Oblast
ярославль,россия	Yaroslavl
псковский район,россия	Pskovsky_District
сыаганна,россия	Syagannakh
чебаркуль,россия	Chebarkul
северобайкальск,россия	Severobaykalsk
ленинский район,россия	Leninsky_District,_Volgograd_Oblast
лесозаводский,россия	Lesozavodsky,_Murmansk_Oblast
матвеево-курганский район,россия	Matveyevo-Kurgansky_District
кимовский район,россия	Kimovsky_District
усть-майский улус,россия	Ust-Maysky_District
тегульдетский район,россия	Teguldetsky_District
заветинский район,россия	Zavetinsky_District
сосновский район,россия	Sosnovsky_District,_Tambov_Oblast
починок,россия	Pochinok,_Pochinkovsky_District,_Smolensk_Oblast
горняк,россия	Gornyak,_Altai_Krai
бобров,россия	Bobrov,_Bobrovsky_District,_Voronezh_Oblast
кадошкин,россия	Kadoshkino
новохоперский район,россия	Novokhopyorsky_District
дюртюли,россия	Dyurtyuli
курск,россия	Kursk
белый,россия	Bely,_Tver_Oblast
омутинский район,россия	Omutinsky_District
сатка,россия	Satka
делянкир,россия	Delyankir
тобольский район,россия	Tobolsky_District
болотное,россия	Bolotnoye
пуксоозеро,россия	Puksoozero
тонкинский район,россия	Tonkinsky_District
малоархангельский район,россия	Maloarkhangelsky_District
малаховка,россия	Malakhovka,_Moscow_Oblast
нохора,россия	Nokhoroy
надым,россия	Nadym
маст 2-й,россия	Mastakh_2-y
сампурский район,россия	Sampursky_District
чкаловский район,россия	Chkalovsky_District,_Nizhny_Novgorod_Oblast
южный-сухокумск,россия	Yuzhno-Sukhokumsk
баксан,россия	Baksan_(town)
клетнянский район,россия	Kletnyansky_District
кузнецкий район,россия	Kuznetsky_District,_Penza_Oblast
ачи-су,россия	Achi-Su
демянск,россия	Demyansk
горьковский район,россия	Gorkovsky_District
пеледуй,россия	Peleduy
астрахань,россия	Astrakhan
балтайский район,россия	Baltaysky_District
энгельсский район,россия	Engelssky_District
чернушка,россия	Chernushka,_Chernushinsky_District,_Perm_Krai
новоаннинский,россия	Novoanninsky_(town)
эльдикан,россия	Eldikan
заводоуковск,россия	Zavodoukovsk
ефимовский,россия	Yefimovsky_(urban-type_settlement)
грайворонский район,россия	Grayvoronsky_District
усть-кут,россия	Ust-Kut
данковский район,россия	Dankovsky_District
пяозерский,россия	Pyaozersky
лебяжский район,россия	Lebyazhsky_District
суччино,россия	Suchchino
павловск,россия	Pavlovsk,_Voronezh_Oblast
хасан,россия	Khasan_(urban-type_settlement)
волгореченск,россия	Volgorechensk
соль-илецкий район,россия	Sol-Iletsky_District
бордон 3-й,россия	Bordon_3-y
агаповский район,россия	Agapovsky_District
сулгаччы,россия	Sulgachchy
северодвинск,россия	Severodvinsk
батайск,россия	Bataysk
нама,россия	Namy
момский улус,россия	Momsky_District
жешарт,россия	Zheshart
мышкин,россия	Myshkin_(town)
тюхтетский район,россия	Tyukhtetsky_District
форносовый,россия	Fornosovo
сковородино,россия	Skovorodino,_Amur_Oblast
краснозаводск,россия	Krasnozavodsk
печора,россия	Pechora
петров вал,россия	Petrov_Val
верхневилюйск,россия	Verkhnevilyuysk
звездочка,россия	Zvyozdochka,_Sakha_Republic
красноуральск,россия	Krasnouralsk
каменск-шахтинский,россия	Kamensk-Shakhtinsky
хвалынский район,россия	Khvalynsky_District
акан,россия	Akana,_Russia
орочный 1-й,россия	Orochen_1-y
шегарский район,россия	Shegarsky_District
улахан-мунгку,россия	Ulakhan-Mungku
воронеж,россия	Voronezh
ботул,россия	Botulu
кагальницкий район,россия	Kagalnitsky_District
чкаловск,россия	Chkalovsk,_Russia
петровск,россия	Petrovsk,_Saratov_Oblast
верхнеколымский улус,россия	Verkhnekolymsky_District
моккет,россия	Mokket
явас,россия	Yavas
кувшиновский район,россия	Kuvshinovsky_District
маяк городецкий,россия	Mayak_Gorodetsky
белькач,россия	Belkachi
бугурусланский район,россия	Buguruslansky_District
турукт,россия	Turukta
хоробувать,россия	Khorobut
сямжа,россия	Syamzha
алексеевский район,россия	Alexeyevsky_District,_Volgograd_Oblast
нерчинский завод,россия	Nerchinsky_Zavod
кабардино-балкарский республика,россия	Kabardino-Balkaria
ростов,россия	Rostov
аркадак,россия	Arkadak
краколье,россия	Krakolye
мырыть,россия	Myryla
мелекесский район,россия	Melekessky_District
плавск,россия	Plavsk
пограничный,россия	Pogranichny,_Primorsky_Krai
режевский район,россия	Rezhevsky_District
нерюнгринский улус,россия	Neryungrinsky_District
черепановский район,россия	Cherepanovsky_District
марха,россия	Markha
великий новгород,россия	Veliky_Novgorod
светлогорский район,россия	Svetlogorsky_District
дальнеконстантиновский район,россия	Dalnekonstantinovsky_District
сортавала,россия	Sortavala
курганский область,россия	Kurgan_Oblast
буйский район,россия	Buysky_District
аллага,россия	Allaga
инжавинский район,россия	Inzhavinsky_District
песчаный,россия	Peschany,_Murmansk_Oblast
вешкаймский район,россия	Veshkaymsky_District
магадан,россия	Magadan
улу,россия	Ulu,_Russia
сызрань,россия	Syzran
оленица,россия	Olenitsa
кердь,россия	Kerdyom
кыра,россия	Kyra,_Russia
исаклинский район,россия	Isaklinsky_District
склад,россия	Sklad
куменский район,россия	Kumyonsky_District
восточный мунозеро,россия	Vostochnoye_Munozero
кильдинстрой,россия	Kildinstroy
байкаловский район,россия	Baykalovsky_District
славянка,россия	Slavyanka,_Primorsky_Krai
республика башкортостан,россия	Bashkortostan
лихославль,россия	Likhoslavl
аршан,россия	Arshan,_Republic_of_Buryatia
хасынский район,россия	Khasynsky_District
кокино,россия	Kokino,_Vygonichsky_District,_Bryansk_Oblast
утай,россия	Utaya
николаевский район,россия	Nikolayevsky_District,_Volgograd_Oblast
калачеевский район,россия	Kalacheyevsky_District
ужурский район,россия	Uzhursky_District
бердск,россия	Berdsk
кальвица,россия	Kalvitsa
сиверский,россия	Siversky
кимовск,россия	Kimovsk
калининаул,россия	Kalininaul,_Kazbekovsky_District,_Republic_of_Dagestan
шонгуй,россия	Shonguy
дубровка,россия	Dubrovka,_Vsevolozhsky_District,_Leningrad_Oblast
биробиджанский район,россия	Birobidzhansky_District
коломна,россия	Kolomna
охотск,россия	Okhotsk
заполярный,россия	Zapolyarny,_Murmansk_Oblast
ольховский район,россия	Olkhovsky_District
путевой усадьба 1331 км,россия	Putevye_Usadby_1331_km
белый холуница,россия	Belaya_Kholunitsa
пересвет,россия	Peresvet
шаховской район,россия	Shakhovskoy_District
тайшетский район,россия	Tayshetsky_District
липецкий область,россия	Lipetsk_Oblast
мекимдя,россия	Mekimdya
акбулакский район,россия	Akbulaksky_District
романовский район,россия	Romanovsky_District,_Saratov_Oblast
глазов,россия	Glazov
хосед-хардский,россия	Khoseda-Khardsky
республика коми,россия	Komi_Republic
Сылгы-ытар,россия	Sylgy-Ytar
саткинский район,россия	Satkinsky_District
нолинский район,россия	Nolinsky_District
шурышкарский район,россия	Shuryshkarsky_District
титан,россия	Titan,_Russia
кулебаки,россия	Kulebaki
острогожск,россия	Ostrogozhsk
ростовский область,россия	Rostov_Oblast
сысертский район,россия	Sysertsky_District
усун,россия	Usun
зуевский район,россия	Zuyevsky_District
харбала,россия	Kharbala
болохово,россия	Bolokhovo
струнино,россия	Strunino,_Vladimir_Oblast
харабали,россия	Kharabali
солнечный,россия	Solnechny,_Sakha_Republic
подольский район,россия	Podolsky_District
дедович,россия	Dedovichi
баганский район,россия	Bagansky_District
верхневилюйский улус,россия	Verkhnevilyuysky_District
куйдусун,россия	Kuydusun
славный,россия	Slavny,_Tula_Oblast
брянский область,россия	Bryansk_Oblast
новоалтайск,россия	Novoaltaysk
спасский район,россия	Spassky_District,_Ryazan_Oblast
немский район,россия	Nemsky_District
кунгур,россия	Kungur
беломорск,россия	Belomorsk
кысыл-деревня,россия	Kysyl-Derevnya
инняла,россия	Innyaly
серпуховский район,россия	Serpukhovsky_District
нурлат,россия	Nurlat
семилуки,россия	Semiluki
новокуйбышевск,россия	Novokuybyshevsk
краснопартизанский район,россия	Krasnopartizansky_District
светлинский район,россия	Svetlinsky_District
усун-кюель,россия	Usun-Kyuyol,_Verkhnekolymsky_District,_Sakha_Republic
ковер,россия	Kovrov
кюпец,россия	Kyuptsy
долгопрудный,россия	Dolgoprudny
большой ижора,россия	Bolshaya_Izhora
серышевский район,россия	Seryshevsky_District
лунинский район,россия	Luninsky_District
горячий ручей,россия	Goryachiye_Ruchyi
снежногорск,россия	Snezhnogorsk,_Murmansk_Oblast
кенг-кюель,россия	Keng-Kyuyol,_Verkhnevilyuysky_District,_Sakha_Republic
улахан-ан,россия	Ulakhan-An
республика дагестан,россия	Dagestan
амурск,россия	Amursk
красносулинский район,россия	Krasnosulinsky_District
большеглушицкий район,россия	Bolsheglushitsky_District
новониколаевский район,россия	Novonikolayevsky_District
новгородский область,россия	Novgorod_Oblast
серпухов,россия	Serpukhov
погарский район,россия	Pogarsky_District
шумерля,россия	Shumerlya
спасск-рязанский,россия	Spassk-Ryazansky
уярский район,россия	Uyarsky_District
ступино,россия	Stupino,_Stupinsky_District,_Moscow_Oblast
дедовичский район,россия	Dedovichsky_District
енский,россия	Yonsky
шалинский район,россия	Shalinsky_District,_Sverdlovsk_Oblast
лопарский,россия	Loparskaya
кемерово,россия	Kemerovo
переславль-залесский,россия	Pereslavl-Zalessky
макарья,россия	Makarye,_Voronezh_Oblast
ростовский район,россия	Rostovsky_District
тугулымский район,россия	Tugulymsky_District
котовский район,россия	Kotovsky_District
пачелмский район,россия	Pachelmsky_District
бирюсинск,россия	Biryusinsk
шарангский район,россия	Sharangsky_District
кадыйский район,россия	Kadyysky_District
новый юркович,россия	Novy_Yurkovich
судиславский район,россия	Sudislavsky_District
усть-баргузин,россия	Ust-Barguzin
дал,россия	Daly,_Russia
тольятти,россия	Tolyatti
варненский район,россия	Varnensky_District
горный улус,россия	Gorny_District
богородский район,россия	Bogorodsky_District,_Nizhny_Novgorod_Oblast
голышмановский район,россия	Golyshmanovsky_District
чаппанда,россия	Chappanda
северо-енисейский район,россия	Severo-Yeniseysky_District
тэгэн,россия	Tegen
новохоперск,россия	Novokhopyorsk
кронштадт,россия	Kronstadt
поныровский район,россия	Ponyrovsky_District
соянг,россия	Soyangi
няндомский район,россия	Nyandomsky_District
челябинск,россия	Chelyabinsk
джебарик-хая,россия	Dzhebariki-Khaya
солигалич,россия	Soligalich
бясь-кюель,россия	Byas-Kyuyol,_Olyokminsky_District,_Sakha_Republic
дербент,россия	Derbent
киренск,россия	Kirensk
нефтеюганск,россия	Nefteyugansk
березник,россия	Berezniki
белев,россия	Belyov
буденновск,россия	Budyonnovsk
приречный,россия	Prirechny,_Murmansk_Oblast
переславский район,россия	Pereslavsky_District
колыванский район,россия	Kolyvansky_District
сибирский,россия	Sibirsky,_Altai_Krai
эйикяр,россия	Eyikyar
новоникольск,россия	Novonikolsk_(Primorsky_krai)
иннополис,россия	Innopolis
воин,россия	Voin_(rural_locality)
республика мордовия,россия	Mordovia
пудож,россия	Pudozh
чурапчинский улус,россия	Churapchinsky_District
татарский район,россия	Tatarsky_District
пучеж,россия	Puchezh
дятьковский район,россия	Dyatkovsky_District
данилов,россия	Danilov,_Yaroslavl_Oblast
камчатский край,россия	Kamchatka_Krai
краснозатонский,россия	Krasnozatonsky
приладожский,россия	Priladozhsky
раменское,россия	Ramenskoye,_Moscow_Oblast
бодайбинский район,россия	Bodaybinsky_District
гурьевский район,россия	Guryevsky_District,_Kemerovo_Oblast
смоленск,россия	Smolensk
хохольский район,россия	Khokholsky_District
суворовский район,россия	Suvorovsky_District
темкинский район,россия	Tyomkinsky_District
ртищево,россия	Rtishchevo
новокузнецкий район,россия	Novokuznetsky_District
жирновск,россия	Zhirnovsk
ыгыатта,россия	Ygyatta
фролово,россия	Frolovo
нагорный,россия	Nagorny,_Sakha_Republic
чайыгда,россия	Chayygda
серовский район,россия	Serovsky_District
молочный,россия	Molochny
ермолин,россия	Yermolino,_Kaluga_Oblast
новоуральск,россия	Novouralsk
токаревский район,россия	Tokaryovsky_District
вычегодский,россия	Vychegodsky
новочеркасск,россия	Novocherkassk
павинский район,россия	Pavinsky_District
ветлуга,россия	Vetluga
майнский район,россия	Maynsky_District
янаул,россия	Yanaul
вяртсиль,россия	Vyartsilya
таймылыр,россия	Taymylyr
шумячский район,россия	Shumyachsky_District
мара-кюель,россия	Mar-Kyuyol
воркута,россия	Vorkuta
кузьмоловский,россия	Kuzmolovsky
балаковский район,россия	Balakovsky_District
тит-ара,россия	Tit-Ary,_Ust-Aldansky_District,_Sakha_Republic
егорьевский район,россия	Yegoryevsky_District,_Moscow_Oblast
советский гавань,россия	Sovetskaya_Gavan
белокаменка,россия	Belokamenka,_Murmansk_Oblast
сосновка,россия	Sosnovka,_Vyatskopolyansky_District,_Kirov_Oblast
осинский район,россия	Osinsky_District,_Irkutsk_Oblast
ефремовский район,россия	Yefremovsky_District
истринский район,россия	Istrinsky_District
тверь,россия	Tver
княжой губа,россия	Knyazhaya_Guba
давлеканово,россия	Davlekanovo
тихвинский район,россия	Tikhvinsky_District
лебий,россия	Lebiya
амгинский улус,россия	Amginsky_District
каргасокский район,россия	Kargasoksky_District
маягас,россия	Mayagas
некрасовское,россия	Nekrasovskoye
сасово,россия	Sasovo,_Ryazan_Oblast
касумкент,россия	Kasumkent
сосковский район,россия	Soskovsky_District
находка,россия	Nakhodka
убинский район,россия	Ubinsky_District
