Славянск	Slavyansk-na-Kubani
Локня	Loknya,_Pskov_Oblast
Видяево	Vidyayevo
Хатыстыр	Khatystyr
Артём	Artyom,_Russia
Калачинский район	Kalachinsky_District
Тасеевский район	Taseyevsky_District
Партизанский район	Partizansky_District,_Krasnoyarsk_Krai
Кырыкый	Kyrykyy
Вожега	Vozhega
Духовщина	Dukhovshchina,_Smolensk_Oblast
Горный	Gorny,_Zabaykalsky_Krai
Аллах-Юнь	Allakh-Yun
Бессоновский район	Bessonovsky_District
Дюпся	Dyupsya
Астрамьево	Astramyevo
Байкит	Baykit
Володарск	Volodarsk,_Russia
Новосокольнический район	Novosokolnichesky_District
Кашин	Kashin_(town)
Моршанский район	Morshansky_District
Лабинск	Labinsk
Кирс	Kirs,_Russia
Зима	Zima_(town)
Набережные Челны	Naberezhnye_Chelny
Краснокамск	Krasnokamsk
Верхняя Максаковка	Verkhnyaya_Maksakovka
Новороссийск	Novorossiysk
Сазоново	Sazonovo,_Chagodoshchensky_District,_Vologda_Oblast
Лакинск	Lakinsk
Одесский район	Odessky_District
Бярийе	Byariye
Ковровский район	Kovrovsky_District
Правокубанский	Pravokubansky
Тюмень	Tyumen
Нижневартовск	Nizhnevartovsk
Кулун-Елбют	Kulun-Yelbyut
Волоколамск	Volokolamsk
Подпорожский район	Podporozhsky_District
Республика Марий Эл	Mari_El
Таборинский район	Taborinsky_District
Слюдянский район	Slyudyansky_District
Бор	Bor,_Turukhansky_District,_Krasnoyarsk_Krai
Усть-Катав	Ust-Katav
Пущино	Pushchino
Курганинск	Kurganinsk
Троицкий район	Troitsky_District,_Chelyabinsk_Oblast
Гусь-Хрустальный	Gus-Khrustalny_(town)
Комаричский район	Komarichsky_District
Краснознаменск	Krasnoznamensk,_Moscow_Oblast
Киришский район	Kirishsky_District
Панинский район	Paninsky_District
Ла́зарев	Lazarev,_Russia
Гаврилов-Ям	Gavrilov-Yam
Седкыркещ	Sedkyrkeshch
Кердюген	Kerdyugen
Губкинский	Gubkinsky_(town)
Шелехов	Shelekhov
Бейдинга	Beydinga
Новоаннинский район	Novoanninsky_District
Горнозаводск	Gornozavodsk,_Sakhalin_Oblast
Тетрино	Tetrino
Нижнетавдинский район	Nizhnetavdinsky_District
Мульда	Mulda,_Russia
Елец	Yelets
Шахты	Shakhty
Баханай	Bakhanay
Чулымский район	Chulymsky_District
Кувандык	Kuvandyk
Козловка	Kozlovka,_Kozlovsky_District,_Chuvash_Republic
Кустур	Kustur
Крест-Кытыл	Krest-Kytyl
Зея	Zeya,_Russia
Усть-Миль	Ust-Mil
Гуково	Gukovo
Наволоки	Navoloki,_Ivanovo_Oblast
Новошахтинск	Novoshakhtinsk
Тонгулах	Tongulakh
Зеленодольск	Zelenodolsk,_Republic_of_Tatarstan
Синявино	Sinyavino,_Leningrad_Oblast
Гагинский район	Gaginsky_District
Гвардейск	Gvardeysk
Цимлянск	Tsimlyansk
Санкт-Петербург	Saint_Petersburg
Тамбовский район	Tambovsky_District,_Tambov_Oblast
Холмогорский район	Kholmogorsky_District
Синск	Sinsk
Бырама	Byrama
Заозёрск	Zaozyorsk
Липки	Lipki,_Kireyevsky_District,_Tula_Oblast
Северск	Seversk
Ручьи	Ruchyi,_Murmansk_Oblast
Нижнеудинск	Nizhneudinsk
Ишим	Ishim,_Tyumen_Oblast
Иенгра	Iyengra
Жемчужная	Zhemchuzhnaya
Сурский район	Sursky_District
Хворостянский район	Khvorostyansky_District
Приводино	Privodino
Тихвин	Tikhvin
Кежемский	Kezhemsky_(rural_locality)
Нычалах	Nychalakh
Чебаркульский район	Chebarkulsky_District
Новотроицк	Novotroitsk
Ульяновский район	Ulyanovsky_District,_Ulyanovsk_Oblast
Сюльдюкар	Syuldyukar
Омутнинский район	Omutninsky_District
Подюга	Podyuga
Ашинский  район	Ashinsky_District
Таксимо	Taksimo
Щукозеро	Shchukozero
Саныяхтах	Sanyyakhtakh
Володарский район	Volodarsky_District,_Nizhny_Novgorod_Oblast
Новозавидовский	Novozavidovsky
Багратионовский район	Bagrationovsky_District
Оленья Губа	Olenya_Guba_(rural_locality)
Авиапорт	Aviaport,_Olyokminsky_District,_Sakha_Republic
Лухский район	Lukhsky_District
Ахтубинск	Akhtubinsk
Егорьевск	Yegoryevsk
Пролетарск	Proletarsk,_Rostov_Oblast
Усинск	Usinsk
Хайысардах	Khayysardakh
Пинега	Pinega
Дергачёвский район	Dergachyovsky_District
Чамча	Chamcha
Верхний Уфалей	Verkhny_Ufaley
Куокуну	Kuokunu
Чай	Chay,_Sakha_Republic
Томский район	Tomsky_District
Иркутский район	Irkutsky_District
Шебекино	Shebekino
Обозерский	Obozersky
Можга	Mozhga
Шенкурск	Shenkursk
Железноводск	Zheleznovodsk
Мелеуз	Meleuz
Перелюбский район	Perelyubsky_District
Оймяконский улус	Oymyakonsky_District
Килиер	Kiliyer
Базарносызганский район	Bazarnosyzgansky_District
Северный	Severny,_Komi_Republic
Люберцы	Lyubertsy
Нестеровский район	Nesterovsky_District
Бураново	Buranovo,_Udmurt_Republic
Чёрмоз	Chyormoz
Курчатов	Kurchatov,_Russia
Рыткучи	Rytkuchi
Сафоново	Safonovo,_Safonovsky_District,_Smolensk_Oblast
Трудовая	Trudovaya
Мытищи	Mytishchi
Мичуринский район	Michurinsky_District
Благоево	Blagoyevo
Духовщинский район	Dukhovshchinsky_District
Волот	Volot,_Volot_Settlement,_Volotovsky_District,_Novgorod_Oblast
Тверская область	Tver_Oblast
Топки	Topki_(town),_Kemerovo_Oblast
Барда	Barda,_Perm_Krai
Апапельгино	Apapelgino
Гатчина	Gatchina
Далыр	Dalyr
Палласовский район	Pallasovsky_District
Абдулино	Abdulino
Москва	Moscow
Лешуконское	Leshukonskoye
Терско-Орловский Маяк	Tersko-Orlovsky_Mayak
Ольский район	Olsky_District
Советский район	Sovetsky_District,_Saratov_Oblast
Лазаревский внутригородской район	Lazarevsky_City_District
Североуральск	Severouralsk
Чернышковский район	Chernyshkovsky_District
Новосильский район	Novosilsky_District
Аргаяшский район	Argayashsky_District
Знаменский район	Znamensky_District,_Tambov_Oblast
Шахунья	Shakhunya
Пестравский район	Pestravsky_District
Тымпы	Tympy
Тимашёвск	Timashyovsk
Шиловский район	Shilovsky_District
Юрьев-Польский район	Yuryev-Polsky_District
Путеец	Puteyets
Чановский район	Chanovsky_District
Молодёжный	Molodyozhny,_Moscow_Oblast
Абинск	Abinsk
Хоринцы	Khorintsy
Пушкино	Pushkino,_Pushkinsky_District,_Moscow_Oblast
Сим	Sim,_Chelyabinsk_Oblast
Сергиев Посад	Sergiyev_Posad
Кюль	Kyul
Новосёловский район	Novosyolovsky_District
Бондарский район	Bondarsky_District
Железногорский район	Zheleznogorsky_District
Бёкё	Byokyo
Каргат	Kargat
Натора	Natora
Чеченская Республика	Chechnya
Шуя	Shuya,_Ivanovo_Oblast
Магарас	Magaras
Сунтар	Suntar_(rural_locality)
Первомайск	Pervomaysk,_Nizhny_Novgorod_Oblast
Мончегорск	Monchegorsk
Нижнеудинский район	Nizhneudinsky_District
Апрелевка	Aprelevka
Барыш	Barysh
Арсеньево	Arsenyevo,_Arsenyevsky_District,_Tula_Oblast
Окоемовка	Okoyemovka
Пяйве	Pyayve
Май	May,_Verkhnevilyuysky_District,_Sakha_Republic
Гавриловский район	Gavrilovsky_District
Рогнединский район	Rognedinsky_District
Ясногорский район	Yasnogorsky_District
Ярцевский район	Yartsevsky_District
Малосердобинский район	Maloserdobinsky_District
Нюя Северная	Nyuya_Severnaya
Янтарный	Yantarny
Радченко	Radchenko_(urban-type_settlement)
Саяногорск	Sayanogorsk
Усольский район	Usolsky_District,_Irkutsk_Oblast
Старая Ладога	Staraya_Ladoga
Едей	Yedey,_Nyurbinsky_District,_Sakha_Republic
Орто-Нахара	Orto-Nakhara
Нахара	Nakhara
Орто-Сурт	Orto-Surt
Яковлевский район	Yakovlevsky_District,_Belgorod_Oblast
Всеволожский район	Vsevolozhsky_District
Кинельский район	Kinelsky_District
Шуйский район	Shuysky_District
Узловая	Uzlovaya
Себеж	Sebezh
Эхирит-Булагатский район	Ekhirit-Bulagatsky_District
Харабалинский  район	Kharabalinsky_District
Балтийск	Baltiysk
Потьма	Potma,_Zubovo-Polyansky_District,_Republic_of_Mordovia
Ялуторовск	Yalutorovsk
Глазуновский район	Glazunovsky_District
Каменногорск	Kamennogorsk
Зашеек	Zasheyek,_Murmansk_Oblast
Тимкино	Timkino
Алданский улус	Aldansky_District
Звёздный городок	Zvyozdny_gorodok_(urban-type_settlement)
Екатериновский район	Yekaterinovsky_District
Духовницкий район	Dukhovnitsky_District
Быранатталах	Byranattalakh
Сурск	Sursk
Кировград	Kirovgrad
Ершовский район	Yershovsky_District
Домново	Domnovo
Таганрог	Taganrog
Сланцевский район	Slantsevsky_District
Никифоровский район	Nikiforovsky_District
Чухломский район	Chukhlomsky_District
Верхнеландеховский район	Verkhnelandekhovsky_District
Усманский район	Usmansky_District
Пестяковский район	Pestyakovsky_District
Ирбитский район	Irbitsky_District
Нариманов	Narimanov,_Astrakhan_Oblast
Кюндяде	Kyundyade
Фалёнский район	Falyonsky_District
Ермаковский район	Yermakovsky_District
Старомайнский район	Staromaynsky_District
Ленинкент	Leninkent,_Makhachkala,_Republic_of_Dagestan
Шадринский район	Shadrinsky_District
Сысерть	Sysert
Руза	Ruza,_Ruzsky_District,_Moscow_Oblast
Клинский район	Klinsky_District
Ялуторовский район	Yalutorovsky_District
Сафоновский район	Safonovsky_District
Тикси	Tiksi
Пионерский	Pionersky,_Kaliningrad_Oblast
Зиминский район	Ziminsky_District
Вичуга	Vichuga
Новоорский район	Novoorsky_District
Новодеревеньковский район	Novoderevenkovsky_District
Бисер	Biser,_Russia
Антоновка	Antonovka,_Sakha_Republic
Усть-Чаркы	Ust-Charky
Пировский район	Pirovsky_District
Нарткала	Nartkala
Бала	Bala,_Russia
Буй	Buy,_Kostroma_Oblast
Луткун	Lutkun
Архангельская область	Arkhangelsk_Oblast
Ставропольский район	Stavropolsky_District
Таштагол	Tashtagol
Саянск	Sayansk
Тлюстенхабль	Tlyustenkhabl
Карасук	Karasuk,_Novosibirsk_Oblast
Тайшет	Tayshet
Порховский район	Porkhovsky_District
Чистоозёрный район	Chistoozyorny_District
Сергач	Sergach
Саранск	Saransk
Кыйы	Kyyy
Нюксеница	Nyuksenitsa
Пустошкинский район	Pustoshkinsky_District
Угранский район	Ugransky_District
Зарайский район	Zaraysky_District
Лумбовка	Lumbovka
Шахтёрск	Shakhtyorsk
Ломоносовский район	Lomonosovsky_District,_Leningrad_Oblast
Ярославль	Yaroslavl
Псковский район	Pskovsky_District
Сыаганнах	Syagannakh
Чебаркуль	Chebarkul
Северобайкальск	Severobaykalsk
Ленинский район	Leninsky_District,_Volgograd_Oblast
Лесозаводский	Lesozavodsky,_Murmansk_Oblast
Матвеево-Курганский район	Matveyevo-Kurgansky_District
Кимовский район	Kimovsky_District
Усть-Майский улус	Ust-Maysky_District
Тегульдетский район	Teguldetsky_District
Заветинский район	Zavetinsky_District
Сосновский район	Sosnovsky_District,_Tambov_Oblast
Починок	Pochinok,_Pochinkovsky_District,_Smolensk_Oblast
Горняк	Gornyak,_Altai_Krai
Бобров	Bobrov,_Bobrovsky_District,_Voronezh_Oblast
Кадошкино	Kadoshkino
Новохопёрский район	Novokhopyorsky_District
Дюртюли	Dyurtyuli
Курск	Kursk
Белый	Bely,_Tver_Oblast
Омутинский район	Omutinsky_District
Сатка	Satka
Делянкир	Delyankir
Тобольский район	Tobolsky_District
Болотное	Bolotnoye
Пуксоозеро	Puksoozero
Тонкинский район	Tonkinsky_District
Малоархангельский район	Maloarkhangelsky_District
Малаховка	Malakhovka,_Moscow_Oblast
Нохорой	Nokhoroy
Надым	Nadym
Мастах 2-й	Mastakh_2-y
Сампурский район	Sampursky_District
Чкаловский район	Chkalovsky_District,_Nizhny_Novgorod_Oblast
Южно-Сухокумск	Yuzhno-Sukhokumsk
Баксан	Baksan_(town)
Клетнянский район	Kletnyansky_District
Кузнецкий район	Kuznetsky_District,_Penza_Oblast
Ачи-Су	Achi-Su
Демянск	Demyansk
Горьковский район	Gorkovsky_District
Пеледуй	Peleduy
Астрахань	Astrakhan
Балтайский район	Baltaysky_District
Энгельсский район	Engelssky_District
Чернушка	Chernushka,_Chernushinsky_District,_Perm_Krai
Новоаннинский	Novoanninsky_(town)
Эльдикан	Eldikan
Заводоуковск	Zavodoukovsk
Ефимовский	Yefimovsky_(urban-type_settlement)
Грайворонский район	Grayvoronsky_District
Усть-Кут	Ust-Kut
Данковский район	Dankovsky_District
Пяозерский	Pyaozersky
Лебяжский район	Lebyazhsky_District
Суччино	Suchchino
Павловск	Pavlovsk,_Voronezh_Oblast
Хасан	Khasan_(urban-type_settlement)
Волгореченск	Volgorechensk
Соль-Илецкий район	Sol-Iletsky_District
Бордон 3-й	Bordon_3-y
Агаповский район	Agapovsky_District
Сулгаччы	Sulgachchy
Северодвинск	Severodvinsk
Батайск	Bataysk
Намы	Namy
Момский улус	Momsky_District
Жешарт	Zheshart
Мышкин	Myshkin_(town)
Тюхтетский район	Tyukhtetsky_District
Форносово	Fornosovo
Сковородино	Skovorodino,_Amur_Oblast
Краснозаводск	Krasnozavodsk
Печора	Pechora
Петров Вал	Petrov_Val
Верхневилюйск	Verkhnevilyuysk
Звёздочка	Zvyozdochka,_Sakha_Republic
Красноуральск	Krasnouralsk
Каменск-Шахтинский	Kamensk-Shakhtinsky
Хвалынский район	Khvalynsky_District
Акана	Akana,_Russia
Орочен 1-й	Orochen_1-y
Шегарский район	Shegarsky_District
Улахан-Мунгку	Ulakhan-Mungku
Воронеж	Voronezh
Ботулу	Botulu
Кагальницкий район	Kagalnitsky_District
Чкаловск	Chkalovsk,_Russia
Петровск	Petrovsk,_Saratov_Oblast
Верхнеколымский улус	Verkhnekolymsky_District
Моккет	Mokket
Явас	Yavas
Кувшиновский район	Kuvshinovsky_District
Маяк Городецкий	Mayak_Gorodetsky
Белькачи	Belkachi
Бугурусланский район	Buguruslansky_District
Турукта	Turukta
Хоробут	Khorobut
Сямжа	Syamzha
Алексеевский район	Alexeyevsky_District,_Volgograd_Oblast
Нерчинский Завод	Nerchinsky_Zavod
Кабардино-Балкарская Республика	Kabardino-Balkaria
Ростов	Rostov
Аркадак	Arkadak
Краколье	Krakolye
Мырыла	Myryla
Мелекесский район	Melekessky_District
Плавск	Plavsk
Пограничный	Pogranichny,_Primorsky_Krai
Режевский район	Rezhevsky_District
Нерюнгринский улус	Neryungrinsky_District
Черепановский район	Cherepanovsky_District
Марха	Markha
Великий Новгород	Veliky_Novgorod
Светлогорский район	Svetlogorsky_District
Дальнеконстантиновский район	Dalnekonstantinovsky_District
Сортавала	Sortavala
Курганская область	Kurgan_Oblast
Буйский район	Buysky_District
Аллага	Allaga
Инжавинский район	Inzhavinsky_District
Песчаный	Peschany,_Murmansk_Oblast
Вешкаймский район	Veshkaymsky_District
Магадан	Magadan
Улу	Ulu,_Russia
Сызрань	Syzran
Оленица	Olenitsa
Кердём	Kerdyom
Кыра	Kyra,_Russia
Исаклинский район	Isaklinsky_District
Склад	Sklad
Кумёнский район	Kumyonsky_District
Восточное Мунозеро	Vostochnoye_Munozero
Кильдинстрой	Kildinstroy
Байкаловский район	Baykalovsky_District
Славянка	Slavyanka,_Primorsky_Krai
Республика Башкортостан	Bashkortostan
Лихославль	Likhoslavl
Аршан	Arshan,_Republic_of_Buryatia
Хасынский район	Khasynsky_District
Кокино	Kokino,_Vygonichsky_District,_Bryansk_Oblast
Утая	Utaya
Николаевский район	Nikolayevsky_District,_Volgograd_Oblast
Калачеевский район	Kalacheyevsky_District
Ужурский район	Uzhursky_District
Бердск	Berdsk
Кальвица	Kalvitsa
Сиверский	Siversky
Кимовск	Kimovsk
Калининаул	Kalininaul,_Kazbekovsky_District,_Republic_of_Dagestan
Шонгуй	Shonguy
Дубровка	Dubrovka,_Vsevolozhsky_District,_Leningrad_Oblast
Биробиджанский район	Birobidzhansky_District
Коломна	Kolomna
Охотск	Okhotsk
Заполярный	Zapolyarny,_Murmansk_Oblast
Ольховский район	Olkhovsky_District
Путевые усадьбы 1331 км	Putevye_Usadby_1331_km
Белая Холуница	Belaya_Kholunitsa
Пересвет	Peresvet
Шаховской район	Shakhovskoy_District
Тайшетский район	Tayshetsky_District
Липецкая область	Lipetsk_Oblast
Мекимдя	Mekimdya
Акбулакский район	Akbulaksky_District
Романовский район	Romanovsky_District,_Saratov_Oblast
Глазов	Glazov
Хоседа-Хардский	Khoseda-Khardsky
Республика Коми	Komi_Republic
Сылгы-Ытар	Sylgy-Ytar
Саткинский район	Satkinsky_District
Нолинский район	Nolinsky_District
Шурышкарский район	Shuryshkarsky_District
Титан	Titan,_Russia
Кулебаки	Kulebaki
Острогожск	Ostrogozhsk
Ростовская область	Rostov_Oblast
Сысертский район	Sysertsky_District
Усун	Usun
Зуевский район	Zuyevsky_District
Харбала	Kharbala
Болохово	Bolokhovo
Струнино	Strunino,_Vladimir_Oblast
Харабали	Kharabali
Солнечный	Solnechny,_Sakha_Republic
Подольский район	Podolsky_District
Дедовичи	Dedovichi
Баганский район	Bagansky_District
Верхневилюйский улус	Verkhnevilyuysky_District
Куйдусун	Kuydusun
Славный	Slavny,_Tula_Oblast
Брянская область	Bryansk_Oblast
Новоалтайск	Novoaltaysk
Спасский район	Spassky_District,_Ryazan_Oblast
Немский район	Nemsky_District
Кунгур	Kungur
Беломорск	Belomorsk
Кысыл-Деревня	Kysyl-Derevnya
Иннялы	Innyaly
Серпуховский район	Serpukhovsky_District
Нурлат	Nurlat
Семилуки	Semiluki
Новокуйбышевск	Novokuybyshevsk
Краснопартизанский район	Krasnopartizansky_District
Светлинский район	Svetlinsky_District
Усун-Кюёль	Usun-Kyuyol,_Verkhnekolymsky_District,_Sakha_Republic
Ковров	Kovrov
Кюпцы	Kyuptsy
Долгопрудный	Dolgoprudny
Большая Ижора	Bolshaya_Izhora
Серышевский район	Seryshevsky_District
Лунинский район	Luninsky_District
Горячие Ручьи	Goryachiye_Ruchyi
Снежногорск	Snezhnogorsk,_Murmansk_Oblast
Кенг-Кюёль	Keng-Kyuyol,_Verkhnevilyuysky_District,_Sakha_Republic
Улахан-Ан	Ulakhan-An
Республика Дагестан	Dagestan
Амурск	Amursk
Красносулинский район	Krasnosulinsky_District
Большеглушицкий район	Bolsheglushitsky_District
Новониколаевский район	Novonikolayevsky_District
Новгородская область	Novgorod_Oblast
Серпухов	Serpukhov
Погарский район	Pogarsky_District
Шумерля	Shumerlya
Спасск-Рязанский	Spassk-Ryazansky
Уярский район	Uyarsky_District
Ступино	Stupino,_Stupinsky_District,_Moscow_Oblast
Дедовичский район	Dedovichsky_District
Ёнский	Yonsky
Шалинский район	Shalinsky_District,_Sverdlovsk_Oblast
Лопарская	Loparskaya
Кемерово	Kemerovo
Переславль-Залесский	Pereslavl-Zalessky
Макарье	Makarye,_Voronezh_Oblast
Ростовский район	Rostovsky_District
Тугулымский район	Tugulymsky_District
Котовский район	Kotovsky_District
Пачелмский район	Pachelmsky_District
Бирюсинск	Biryusinsk
Шарангский район	Sharangsky_District
Кадыйский район	Kadyysky_District
Новые Юрковичи	Novy_Yurkovich
Судиславский район	Sudislavsky_District
Усть-Баргузин	Ust-Barguzin
Далы	Daly,_Russia
Тольятти	Tolyatti
Варненский район	Varnensky_District
Горный улус	Gorny_District
Богородский район	Bogorodsky_District,_Nizhny_Novgorod_Oblast
Голышмановский район	Golyshmanovsky_District
Чаппанда	Chappanda
Северо-Енисейский район	Severo-Yeniseysky_District
Тэгэн	Tegen
Новохопёрск	Novokhopyorsk
Кронштадт	Kronstadt
Поныровский район	Ponyrovsky_District
Соянги	Soyangi
Няндомский район	Nyandomsky_District
Челябинск	Chelyabinsk
Джебарики-Хая	Dzhebariki-Khaya
Солигалич	Soligalich
Бясь-Кюёль	Byas-Kyuyol,_Olyokminsky_District,_Sakha_Republic
Дербент	Derbent
Киренск	Kirensk
Нефтеюганск	Nefteyugansk
Березники	Berezniki
Белёв	Belyov
Будённовск	Budyonnovsk
Приречный	Prirechny,_Murmansk_Oblast
Переславский район	Pereslavsky_District
Колыванский район	Kolyvansky_District
Сибирский	Sibirsky,_Altai_Krai
Эйикяр	Eyikyar
Новоникольск	Novonikolsk_(Primorsky_krai)
Иннополис	Innopolis
Воин	Voin_(rural_locality)
Республика Мордовия	Mordovia
Пудож	Pudozh
Чурапчинский улус	Churapchinsky_District
Татарский район	Tatarsky_District
Пучеж	Puchezh
Дятьковский район	Dyatkovsky_District
Данилов	Danilov,_Yaroslavl_Oblast
Камчатский край	Kamchatka_Krai
Краснозатонский	Krasnozatonsky
Приладожский	Priladozhsky
Раменское	Ramenskoye,_Moscow_Oblast
Бодайбинский район	Bodaybinsky_District
Гурьевский район	Guryevsky_District,_Kemerovo_Oblast
Смоленск	Smolensk
Хохольский район	Khokholsky_District
Суворовский район	Suvorovsky_District
Тёмкинский район	Tyomkinsky_District
Ртищево	Rtishchevo
Новокузнецкий район	Novokuznetsky_District
Жирновск	Zhirnovsk
Ыгыатта	Ygyatta
Фролово	Frolovo
Нагорный	Nagorny,_Sakha_Republic
Чайыгда	Chayygda
Серовский район	Serovsky_District
Молочный	Molochny
Ермолино	Yermolino,_Kaluga_Oblast
Новоуральск	Novouralsk
Токарёвский район	Tokaryovsky_District
Вычегодский	Vychegodsky
Новочеркасск	Novocherkassk
Павинский район	Pavinsky_District
Ветлуга	Vetluga
Майнский район	Maynsky_District
Янаул	Yanaul
Вяртсиля	Vyartsilya
Таймылыр	Taymylyr
Шумячский район	Shumyachsky_District
Мар-Кюёль	Mar-Kyuyol
Воркута	Vorkuta
Кузьмоловский	Kuzmolovsky
Балаковский район	Balakovsky_District
Тит-Ары	Tit-Ary,_Ust-Aldansky_District,_Sakha_Republic
Егорьевский район	Yegoryevsky_District,_Moscow_Oblast
Советская Гавань	Sovetskaya_Gavan
Белокаменка	Belokamenka,_Murmansk_Oblast
Сосновка	Sosnovka,_Vyatskopolyansky_District,_Kirov_Oblast
Осинский район	Osinsky_District,_Irkutsk_Oblast
Ефремовский район	Yefremovsky_District
Истринский район	Istrinsky_District
Тверь	Tver
Княжая Губа	Knyazhaya_Guba
Давлеканово	Davlekanovo
Тихвинский район	Tikhvinsky_District
Лебия	Lebiya
Амгинский улус	Amginsky_District
Каргасокский район	Kargasoksky_District
Маягас	Mayagas
Некрасовское	Nekrasovskoye
Сасово	Sasovo,_Ryazan_Oblast
Касумкент	Kasumkent
Сосковский район	Soskovsky_District
Находка	Nakhodka
Убинский район	Ubinsky_District
Даккы	Dakky
Усвяты	Usvyaty,_Usvyatsky_District,_Pskov_Oblast
Бердяш	Berdyash,_Zilairsky_District,_Republic_of_Bashkortostan
Новосибирск	Novosibirsk
Абага	Abaga,_Olyokminsky_District,_Sakha_Republic
Далматово	Dalmatovo
Острогожский район	Ostrogozhsky_District
Сутуруоха	Suturuokha
Лысьва	Lysva
Волосово	Volosovo,_Volosovsky_District,_Leningrad_Oblast
Александро-Невский район	Alexandro-Nevsky_District
Октябрьск	Oktyabrsk
Мариинск	Mariinsk
Салаир	Salair_(town)
Кадуй	Kaduy,_Vologda_Oblast
Туобуя	Tuobuya
Большесолдатский район	Bolshesoldatsky_District
Ура-Губа	Ura-Guba
Маклок	Maklok,_Voronezh_Oblast
Туринский район	Turinsky_District
Карталы	Kartaly
Канаш	Kanash
Горно-Алтайск	Gorno-Altaysk
Брянский район	Bryansky_District
Тик-Губа	Tik-Guba
Серафимович	Serafimovich_(town)
Холм	Kholm,_Kholmsky_District,_Novgorod_Oblast
Элясин	Elyasin
Брасовский район	Brasovsky_District
Талдом	Taldom
Колпашево	Kolpashevo
Зубцовский район	Zubtsovsky_District
Кольский район	Kolsky_District
Называевский район	Nazyvayevsky_District
Правдинск	Pravdinsk
Унеча	Unecha
Нюрба	Nyurba
Тындинский район	Tyndinsky_District
Петровский район	Petrovsky_District,_Tambov_Oblast
Киквидзенский район	Kikvidzensky_District
Добровский район	Dobrovsky_District
Артёмовский район	Artyomovsky_District
Нефтекумск	Neftekumsk
8	8-y_km
Тойбохой	Toybokhoy
Новоульяновск	Novoulyanovsk
Лесозаводск	Lesozavodsk
Икрянинский район	Ikryaninsky_District
Арсеньев	Arsenyev
Эбелях	Ebelyakh
Куйбышевский район	Kuybyshevsky_District,_Rostov_Oblast
Заиграево	Zaigrayevo
Уродан	Urodan
Пятигорск	Pyatigorsk
Кайралы	Kayraly
Чумпу-Кытыл	Chumpu-Kytyl
Покров	Pokrov,_Vladimir_Oblast
Сергиевский район	Sergiyevsky_District
Урай	Uray
Сибай	Sibay
Тотьма	Totma
Славск	Slavsk
Каширский район	Kashirsky_District,_Voronezh_Oblast
Тацинский район	Tatsinsky_District
Толон	Tolon,_Tolonsky_Rural_Okrug,_Suntarsky_District,_Sakha_Republic
Будогощь	Budogoshch
Кобяй	Kobyay
Клетский район	Kletsky_District
Тополиное	Topolinoye
Ачитский район	Achitsky_District
Белиджи	Belidzhi
Дубенский район	Dubensky_District,_Tula_Oblast
Никель	Nikel
Злынковский район	Zlynkovsky_District
Ивдель	Ivdel
имени Морозова	Imeni_Morozova
Оха	Okha,_Russia
Петрозаводск	Petrozavodsk
Хампа	Khampa,_Russia
Бугуруслан	Buguruslan
Лиинахамари	Liinakhamari
Великие Луки	Velikiye_Luki
Вятскополянский район	Vyatskopolyansky_District
Щербинка	Shcherbinka
Льговский район	Lgovsky_District
Усть-Ишимский район	Ust-Ishimsky_District
Гололобово	Gololobovo,_Zaraysky_District,_Moscow_Oblast
Павлово-Посадский район	Pavlovo-Posadsky_District
Найба	Nayba
Хабаровский край	Khabarovsk_Krai
Нязепетровск	Nyazepetrovsk
Саскылах	Saskylakh
Туойдах	Tuoydakh
Нижнеилимский район	Nizhneilimsky_District
Певек	Pevek
Алдан	Aldan,_Russia
Неболчи	Nebolchi
Качугский район	Kachugsky_District
Апонитищи	Aponitishchi
Лобуя	Lobuya
Верх-Нейвинский	Verkh-Neyvinsky
Шатурский район	Shatursky_District
Изоплит	Izoplit
Новоржевский район	Novorzhevsky_District
Манский район	Mansky_District
Тайга	Tayga
Юнер-Олох	Yuner-Olokh
Верхоянский улус	Verkhoyansky_District
Лысково	Lyskovo,_Nizhny_Novgorod_Oblast
Тумул	Tumul,_Ust-Maysky_District,_Sakha_Republic
Соловецкий район	Solovetsky_District
Петухово	Petukhovo_(town),_Kurgan_Oblast
Хаптагай	Khaptagay
Челно-Вершинский район	Chelno-Vershinsky_District
Мещовский район	Meshchovsky_District
Саратов	Saratov
Красноселькупский район	Krasnoselkupsky_District
Ныроб	Nyrob
Барсово	Barsovo,_Khanty-Mansi_Autonomous_Okrug
Кваркенский район	Kvarkensky_District
Сокольский район	Sokolsky_District,_Nizhny_Novgorod_Oblast
Ынахсыт	Ynakhsyt
Муезерский	Muyezersky_(urban-type_settlement)
Тейковский район	Teykovsky_District
Саракташский район	Saraktashsky_District
Арзамасский район	Arzamassky_District
Мурмаши	Murmashi
Павловка	Pavlovka,_Pavlovsky_District,_Ulyanovsk_Oblast
Вейделевский район	Veydelevsky_District
Сольвычегодск	Solvychegodsk
Мезень	Mezen,_Mezensky_District,_Arkhangelsk_Oblast
Большой Нимныр	Bolshoy_Nimnyr
Новоспасский район	Novospassky_District
Всеволожск	Vsevolozhsk
Терек	Terek,_Kabardino-Balkar_Republic
Зерноград	Zernograd
Дыгдал	Dygdal
Зарубино	Zarubino,_Primorsky_Krai
Новый	Novy,_Tomponsky_District,_Sakha_Republic
Чульман	Chulman
Хохлово	Khokhlovo,_Kaduysky_District,_Vologda_Oblast
Шамилькала	Shamilkala
Кашинский район	Kashinsky_District
