вильферсдорф	Wilfersdorf
акуила-д’арроша	Aquila_d'Arroscia
абакан	Abakan
алькифе	Alquife
барди	Bardi,_Emilia-Romagna
балатон	Balaton,_Minnesota
баджна	Bajna,_India
барранкас,гуахира	Barrancas,_La_Guajira
аджуд	Adjud
альберндорф-им-пулькауталь	Alberndorf_im_Pulkautal
брасуэло	Brazuelo
весковато	Vescovato,_Lombardy
банкура	Bankura
амброз,дакота	Ambrose,_North_Dakota
винер-нойштадт	Wiener_Neustadt
вильярехо-дель-валье	Villarejo_del_Valle
акшак	Akshak
аллен	Allein
бенакасон	Benacazón
барри	Barry,_Minnesota
амаравати	Amaravati,_Andhra_Pradesh
вильямайор-де-лос-монтес	Villamayor_de_los_Montes
аличе-бель-колле	Alice_Bel_Colle
вальдеальгорфа	Valdealgorfa
аццио	Azzio
вадсё	Vadsø
артейхо	Arteixo
валье-де-мансанедо	Valle_de_Manzanedo
брено,италия	Breno
влодава	Włodawa
бхаратпур,индия	Bharatpur,_Rajasthan
белишче	Belišće
бжеще	Brzeszcze
валло-делла-лукания	Vallo_della_Lucania
балатон,город	Balaton,_Minnesota
буньяра	Bugnara
барбона	Barbona
аталая-ду-норти	Atalaia_do_Norte
аделаида	Adelaide
вильярроя-де-лос-пинарес	Villarroya_de_los_Pinares
верджиния	Virginia,_Minnesota
богумин	Bohumín
амазено	Amaseno
вильяторо	Villatoro
альбуньян	Albuñán
бордон	Bordón
бедиас,техас	Bedias,_Texas
болград	Bolhrad
вакфыкебир	Vakfıkebir
вилория-де-риоха	Viloria_de_Rioja
анрас	Anras
березовка,область	Berezivka
артьеда	Artieda
высока	Wysoka
бржидлична	Břidličná
берли	Burley,_Idaho
боруп,миннесота	Borup,_Minnesota
айка	Ajka
вердерио-супериоре	Verderio_Superiore
астара,иран	Astara,_Iran
валь-де-сан-лоренсо	Val_de_San_Lorenzo
али,сицилия	Alì
бродница	Brodnica
багалади	Bagaladi
ветто	Vetto
бехараншехр	Baharan_Shahr
биббона	Bibbona
бад,иран	Badrud
виноградов,город	Vynohradiv
анникко	Annicco
алаярви	Alajärvi
антиньяно	Antignano
вибонати	Vibonati
аидзувакамацу	Aizuwakamatsu,_Fukushima
виллальфонсина	Villalfonsina
байрон	Byron,_Minnesota
вирбалис	Virbalis
вальдоббьядене	Valdobbiadene
вильянуэва-де-карасо	Villanueva_de_Carazo
асаба	Asaba,_Delta
байрон,миннесота	Byron,_Minnesota
антрацит,луганская область	Antratsyt
венцборк	Więcbork
вильяркайо-де-мериндад-де-кастилья-ла-вьеха	Villarcayo_de_Merindad_de_Castilla_la_Vieja
вальдоррос	Valdorros
александрув-куявский	Aleksandrów_Kujawski
бранд-лабен	Brand-Laaben
анцано-дель-парко	Anzano_del_Parco
бишо,город	Bhisho
арба,город	Arba,_Friuli-Venezia_Giulia
анталья	Antalya
бедфорд,виргиния	Bedford,_Virginia
амелья	Ameglia
ардаггер	Ardagger
вайкинг	Viking,_Minnesota
акхисар	Akhisar
аморози	Amorosi
алиабад	Aliabad-e_Katul
бломкест,миннесота	Blomkest,_Minnesota
брумфилд,колорадо	Broomfield,_Colorado
виллапутцу	Villaputzu
агуас-кандидас	Aguas_Cándidas
алерия	Aléria
виланова-де-прадес	Vilanova_de_Prades
велинград	Velingrad
борго-сан-джакомо	Borgo_San_Giacomo
вьерлас	Vierlas
варси	Varsi
авадзи	Awaji,_Hyōgo
альпартир	Alpartir
абу-эль-хасиб	Abu_Al-Khaseeb
бенин-сити	Benin_City
андало-валтеллино	Andalo_Valtellino
баттерфилд	Butterfield,_Minnesota
ангарск	Angarsk
агилар-де-буреба	Aguilar_de_Bureba
арре	Arre,_Veneto
барассо	Barasso
вернберг	Wernberg
ахмета	Akhmeta
бузэу	Buzău
артена	Artena
бертонико	Bertonico
брахам,город	Braham,_Minnesota
варна	Varna
буонконвенто	Buonconvento
блессаньо	Blessagno
белокуриха	Belokurikha
бриона	Briona
валч	Wałcz
во,италия	Vò
вашковцы,район	Vashkivtsi
вальдеполо	Valdepolo
амбой,миннесота	Amboy,_Minnesota
власеница	Vlasenica
абданан	Abdanan
вакаяма,город	Wakayama,_Wakayama
бостан,хузестан	Bostan,_Iran
альбанчес-де-убеда	Albanchez_de_Mágina
брунелло	Brunello,_Lombardy
аккуаканина	Acquacanina
варангал	Warangal
аппьяно-джентиле	Appiano_Gentile
верт,нидерланды	Weert
бела-под-бездезем	Bělá_pod_Bezdězem
аккуафондата	Acquafondata
ахар	Ahar
аквинкум	Aquincum
вьяра	Vyara
бульчаго	Bulciago
ватутино	Vatutine
бельвельо	Belveglio
вильямена	Villamena
остров астипалея	Astypalaia
брезова-под-брадлом	Brezová_pod_Bradlom
вайлате	Vailate
баркабо	Bárcabo
ачалда	Achhalda
бидерманнсдорф	Biedermannsdorf
ванген-на-аре	Wangen_an_der_Aare
вильясидалер	Villacidaler
бесерриль	Becerril
вальделакаса-де-тахо	Valdelacasa_de_Tajo
ван-бьюрен,арканзас	Van_Buren,_Arkansas
арсье	Arsiè
басго	Basgo
апсала,миннесота	Upsala,_Minnesota
астреа	Astrea,_Cesar
альпеньес	Alpeñés
вахрушево,город	Vakhrusheve
абетоне	Abetone
ананьи	Anagni
боттино,северная дакота	Bottineau,_North_Dakota
вьякамп-и-литера	Viacamp_y_Litera
бене-ваджиенна	Bene_Vagienna
бальдиссеро-канавезе	Baldissero_Canavese
алано-ди-пьяве	Alano_di_Piave
бодетт	Baudette,_Minnesota
бидони	Bidonì
бралло-ди-прегола	Brallo_di_Pregola
виллапьяна	Villapiana
вергерето	Verghereto
вилла-рендена	Villa_Rendena
аябе	Ayabe,_Kyoto
валки,город	Valky
анантапур,город	Anantapur,_Andhra_Pradesh
бильче-золотое	Bilche_Zolote
вильясекилья	Villasequilla
вальи-сотто	Vagli_Sotto
биннинген	Binningen,_Switzerland
аннаба	Annaba
алькала-де-монкайо	Alcalá_de_Moncayo
вильямьель-де-ла-сьерра	Villamiel_de_la_Sierra
бридж-сити,техас	Bridge_City,_Texas
агульяро	Agugliaro
альбалате-дель-арсобиспо	Albalate_del_Arzobispo
альбаредо-пер-сан-марко	Albaredo_per_San_Marco
вилла-ди-бриано	Villa_di_Briano
вольтерра	Volterra
биллингс	Billings,_Montana
арнара	Arnara
блитар,город	Blitar
баворов	Bavorov
вальмадрид	Valmadrid
амандола	Amandola
блэкдак,город	Blackduck,_Minnesota
брайтенштайн,австрия	Breitenstein,_Lower_Austria
вяземский	Vyazemsky,_Khabarovsk_Krai
адамов,район	Adamov_(Blansko_District)
виница	Vinica,_Macedonia
брайтон,колорадо	Brighton,_Colorado
муниципалитет бучине	Bucine
брайтенштайн,нижняя австрия	Breitenstein,_Lower_Austria
барберино-валь-д’эльса	Barberino_Val_d'Elsa
вилламарцана	Villamarzana
альяна	Agliana
велье,италия	Veglie
блашки	Błaszki
баньоло-сан-вито	Bagnolo_San_Vito
альтабле	Altable
аскурра	Ascurra
вальва	Valva,_Campania
барнсвилл,город	Barnesville,_Minnesota
аккуавива-коллекроче	Acquaviva_Collecroce
вильянуэва-де-ла-сьерра	Villanueva_de_la_Sierra
бриньяно-фраската	Brignano-Frascata
альбельда	Albelda
байонна	Bayonne
андедзено	Andezeno
аццано-мелла	Azzano_Mella
вольпаго-монтелло	Volpago_del_Montello
атрипальда	Atripalda
високе-мито	Vysoké_Mýto
айлано	Ailano
вишано	Visciano
вильяфранка-монтес-де-ока	Villafranca_Montes_de_Oca
вергато	Vergato
бульци	Bulzi
бардаскан	Bardaskan
вальверде-де-бургильос	Valverde_de_Burguillos
бой-ривер,город	Boy_River,_Minnesota
артёмовка,область	Artemivka
арборио	Arborio,_Piedmont
астен	Asten,_Austria
арауко,чили	Arauco,_Chile
бричаны	Briceni
врангель	Wrangell,_Alaska
авеньо	Avegno,_Liguria
баков-над-йизероу	Bakov_nad_Jizerou
альфамбра	Alfambra
багена	Báguena
бари	Bari
вэйхай	Weihai
бельсито	Belsito
аквавива-пичена	Acquaviva_Picena
войнич,польша	Wojnicz
валенсия-дель-вентосо	Valencia_del_Ventoso
верхняя пышма	Verkhnyaya_Pyshma
верещагино	Vereshchagino,_Vereshchaginsky_District,_Perm_Krai
андлерсдорф	Andlersdorf
альма,арканзас	Alma,_Arkansas
бунвилл	Booneville,_Arkansas
амблар	Amblar
бихаршариф	Bihar_Sharif
бризи-пойнт,город	Breezy_Point,_Minnesota
вильянуэва-де-гомес	Villanueva_de_Gómez
будрио	Budrio
арсьеро	Arsiero
бартын	Bartın
ванье,оттава	Vanier,_Ontario
берсьянос-дель-реаль-камино	Bercianos_del_Real_Camino
бордолано	Bordolano
апамея,сирия	Apamea,_Syria
вегас-дель-кондадо	Vegas_del_Condado
бабушкин	Babushkin_(town)
бауладу	Bauladu
билина,город	Bílina
антиколи-коррадо	Anticoli_Corrado
ашби,миннесота	Ashby,_Minnesota
белорецк	Beloretsk
альметьевск	Almetyevsk
вайнинг,миннесота	Vining,_Minnesota
воткинск	Votkinsk
бедестан	Bidestan
антилло	Antillo
александрия кавказская	Alexandria_on_the_Caucasus
броньятуро	Brognaturo
валь-ди-ницца	Val_di_Nizza
ветралла	Vetralla
анталаха	Antalaha
аргун,город	Argun,_Chechen_Republic
бяла,польша	Biała_Prudnicka
вальсинни	Valsinni
алабанда	Alabanda
ашби,город	Ashby,_Minnesota
биреджик	Birecik
верджиния,миннесота	Virginia,_Minnesota
валье-де-лоса	Valle_de_Losa
альфано	Alfano
вилла-сант-анджело	Villa_Sant'Angelo
барретт,миннесота	Barrett,_Minnesota
бомба,абруццо	Bomba,_Abruzzo
вальфарта	Valfarta
вернал	Vernal,_Utah
атцара	Atzara
анноне-венето	Annone_Veneto
брузненго	Brusnengo
вольта-мантована	Volta_Mantovana
вальтопина	Valtopina
район вила-реал-де-санту-антониу	Vila_Real_de_Santo_António_(parish)
бреме,италия	Breme
бакленд	Buckland,_Alaska
бурса,город	Bursa
боргетто-санто-спирито	Borghetto_Santo_Spirito
вальпальмас	Valpalmas
бомба	Bomba,_Abruzzo
берлангас-де-роа	Berlangas_de_Roa
аясе	Ayase,_Kanagawa
бербера	Berbera
бороградек	Borohrádek
белл	Bell,_California
вальдуджа	Valduggia
агон	Agón
бреганце	Breganze
берли,айдахо	Burley,_Idaho
вале,грузия	Vale,_Georgia
амакуса	Amakusa,_Kumamoto
багли,город	Bagley,_Minnesota
боккильеро	Bocchigliero
биджар	Bijar
верджемоли	Vergemoli
армеро,колумбия	Armero
асайла	Azaila
виньегра-де-моранья	Viñegra_de_Moraña
анауак	Anahuac,_Texas
ботричелло	Botricello
берислав	Beryslav
бласкомильян	Blascomillán
вальганна	Valganna
видяево	Vidyayevo
барцин	Barcin
алекнагик	Aleknagik,_Alaska
вальдевимбре	Valdevimbre
альтиссимо	Altissimo,_Veneto
всетин	Vsetín
бевар	Bewar
бингхем-лейк	Bingham_Lake,_Minnesota
бинджай	Binjai
альбаретто-делла-торре	Albaretto_della_Torre
аугуста	Augusta,_Sicily
велилья-де-синка	Velilla_de_Cinca
белява	Bielawa
безано	Besano
боргетто-ди-борбера	Borghetto_di_Borbera
бульо-ин-монте	Buglio_in_Monte
бьеловар	Bjelovar
вальмала	Valmala,_Italy
археймар	Árheimar
вальфурва	Valfurva
акуре	Akure
арагацотн	Aragatsotn_(village)
бигфорк	Bigfork,_Minnesota
ауронцо-ди-кадоре	Auronzo_di_Cadore
берген	Bergen
вальденбург	Waldenburg,_Switzerland
коммуна бьянки	Bianchi,_Calabria
арсеньев	Arsenyev
валенса	Valença,_Portugal
вадзима	Wajima,_Ishikawa
белхатув	Bełchatów
акрон	Akron,_Ohio
беттлс	Bettles,_Alaska
бонаб	Bonab
бальмучча	Balmuccia
аккуарика-дель-капо	Acquarica_del_Capo
барранкилья	Barranquilla
арёгала	Ariogala
верхняя тура	Verkhnyaya_Tura
бейра	Beira,_Mozambique
альби,калабрия	Albi,_Calabria
бане,город	Baneh
балхаш	Balkhash_(city)
ваприо-д’агонья	Vaprio_d'Agogna
валка	Valka
бельфорте-аль-изауро	Belforte_all'Isauro
армо	Armo
василькув	Wasilków
анакапри	Anacapri
блумфонтейн	Bloemfontein
ватра-дорней	Vatra_Dornei
бухбах,нижняя австрия	Buchbach,_Austria
абья-палуоя	Abja-Paluoja
альтавилла-ирпина	Altavilla_Irpina
бей-сити,мичиган	Bay_City,_Michigan
бурса	Bursa
веллингтон	Wellington
бессуде	Bessude
болехов	Bolekhiv
аллюмьере	Allumiere
баньярия-арса	Bagnaria_Arsa
аккуаппеза	Acquappesa
альфос-де-кинтанадуэньяс	Alfoz_de_Quintanadueñas
волчин	Wołczyn
бреда-ди-пьяве	Breda_di_Piave
аполлоза	Apollosa
вьяндар-де-ла-вера	Viandar_de_la_Vera
али-терме	Alì_Terme
банияс	Banias
бараджано	Baragiano
вальзее-зиндельбург	Wallsee-Sindelburg
биласпур	Bilaspur,_Chhattisgarh
альма	Alma,_Arkansas
брандис-над-лабем-стара-болеслав	Brandýs_nad_Labem-Stará_Boleslav
алигарх	Aligarh,_Uttar_Pradesh
барбарано-вичентино	Barbarano_Vicentino
атена-лукана	Atena_Lucana
вильяррамьель	Villarramiel
ава,город	Awa,_Tokushima
буйнакск	Buynaksk
аренильяс-де-риописуэрга	Arenillas_de_Riopisuerga
барбарига	Barbariga,_Lombardy
вимпассинг-им-шварцатале	Wimpassing_im_Schwarzatale
баньоло-дель-саленто	Bagnolo_del_Salento
ауэрсталь	Auersthal
аббер	Ab_Bar
валпово	Valpovo
аркадия,калифорния	Arcadia,_California
барджора	Barjora
баньоли-ирпино	Bagnoli_Irpino
вахдаттийе	Vahdatiyeh
веста,миннесота	Vesta,_Minnesota
вилямовице	Wilamowice
бингемтон	Binghamton,_New_York
альберт-ли	Albert_Lea,_Minnesota
бьюл,миннесота	Buhl,_Minnesota
белиз	Belize_City
батл-лейк,миннесота	Battle_Lake,_Minnesota
володарск	Volodarsk,_Russia
бановце-над-бебравоу	Bánovce_nad_Bebravou
айзоне	Aisone
айсанти,город	Isanti,_Minnesota
бродница,куявско-поморское воеводство	Brodnica
белозёрское	Bilozerske
агрополи	Agropoli
батерно	Baterno
виу	Viù
бобровица	Bobrovytsia
великие луки	Velikiye_Luki
бхаджана-кутир	Bhajana_Kutir
аниак,аляска	Aniak,_Alaska
баг-э-бехадоран	Bagh-e_Bahadoran
беллицци	Bellizzi
варанаси	Varanasi
беттлс,аляска	Bettles,_Alaska
вельки-кртиш	Veľký_Krtíš
бурбагена	Burbáguena
белгород-днестровский	Bilhorod-Dnistrovskyi
венгожино	Węgorzyno
вильянуэва-де-алькардете	Villanueva_de_Alcardete
венафро	Venafro
врбовец	Vrbovec
бингёль	Bingöl
беррокалехо	Berrocalejo
брионе,провинция	Brione,_Trentino
авдеевка	Avdiivka
вильянуэва-де-ароса	Vilanova_de_Arousa
буръо	Burao
бледжо-суперьоре	Bleggio_Superiore
айнажи	Ainaži
акрон,огайо	Akron,_Ohio
бенд	Bend,_Oregon
бахчисарай	Bakhchysarai
абдон-батиста	Abdon_Batista
арчидоссо	Arcidosso
вильхельмсбург,нижняя австрия	Wilhelmsburg,_Austria
вентотене,город	Ventotene
вилланова-туло	Villanova_Tulo
вау,судан	Wau,_South_Sudan
агульяно	Agugliano
вилланова-дель-геббо	Villanova_del_Ghebbo
альбек,каринтия	Albeck,_Carinthia
брендзоне	Brenzone
вилланова-бьеллезе	Villanova_Biellese
альбалатильо	Albalatillo
вийтасаари	Viitasaari
бжостек	Brzostek
вавилон	Babylon
беверино	Beverino
архенте	Argente
водзислав-слёнски	Wodzisław_Śląski
блу-эрт,миннесота	Blue_Earth,_Minnesota
али	Alì
бидхуна	Bidhuna
бургшлайниц-кюнринг	Burgschleinitz-Kühnring
ассемини	Assemini
бейт-ханун	Beit_Hanoun
вильякиран-де-ла-пуэбла	Villaquirán_de_la_Puebla
адамов	Adamov_(Blansko_District)
аццате	Azzate
андорно-микка	Andorno_Micca
виано	Viano
бонемерсе	Bonemerse
абия-де-лас-торрес	Abia_de_las_Torres
бурштын	Burshtyn
бергондо	Bergondo
вильясансо-де-вальдерадуэй	Villazanzo_de_Valderaduey
борбона	Borbona
вильясала	Villazala
виттуоне	Vittuone
велеццо-ломеллина	Velezzo_Lomellina
вальвазоне	Valvasone
беллинцона	Bellinzona
виллафаллетто	Villafalletto
агоста	Agosta,_Lazio
бадалукко	Badalucco
веденсвиль	Wädenswil
буттрио	Buttrio
асков,город	Askov,_Minnesota
вервио	Vervio
брумов-бильнице	Brumov-Bylnice
болленго	Bollengo
бане	Baneh
брук-парк,миннесота	Brook_Park,_Minnesota
блу-эрт,город	Blue_Earth,_Minnesota
бадолатоса	Badolatosa
брессана-боттароне	Bressana_Bottarone
авейнте	Aveinte
ариялур	Ariyalur
айона,город	Iona,_Minnesota
венария-реале	Venaria_Reale
атеа,сарагоса	Atea,_Zaragoza
вафандянь	Wafangdian
выборг	Vyborg
брейдентон	Bradenton,_Florida
брион	Brión
валло-ди-нера	Vallo_di_Nera
бониту,мату-гросу-ду-сул	Bonito,_Mato_Grosso_do_Sul
бихуэска	Bijuesca
бернхардсталь	Bernhardsthal
альтавилла-силентина	Altavilla_Silentina
вильвьестре-дель-пинар	Vilviestre_del_Pinar
виллафранка-пьемонте	Villafranca_Piemonte
валенца	Valenza
аркос-де-лас-салинас	Arcos_de_las_Salinas
ардон,леон	Ardón
борек-велькопольский	Borek_Wielkopolski
битти,сардиния	Bitti
андервуд,миннесота	Underwood,_Minnesota
англтон,техас	Angleton,_Texas
авалон,калифорния	Avalon,_California
вильялако	Villalaco
балургхат	Balurghat
баумгартен,бургенланд	Baumgarten,_Burgenland
веллетри	Velletri
альгеро	Alghero
ателета	Ateleta
васто	Vasto
банджармасин	Banjarmasin
американ фолс	American_Falls,_Idaho
бьяндронно	Biandronno
аббадия-сан-сальваторе	Abbadia_San_Salvatore
аланно	Alanno
веццано-суль-кростоло	Vezzano_sul_Crostolo
валле-сан-николао	Valle_San_Nicolao
бизенти	Bisenti
бейпорт	Bayport,_Minnesota
бозмен,монтана	Bozeman,_Montana
биласпур,чхаттисгарх	Bilaspur,_Chhattisgarh
водо-кадоре	Vodo_di_Cadore
барстоу	Barstow,_California
вискаинос	Vizcaínos
вильямуэра-де-ла-куэса	Villamuera_de_la_Cueza
вальо-серра	Vaglio_Serra
бризи-пойнт,миннесота	Breezy_Point,_Minnesota
баньоло-кремаско	Bagnolo_Cremasco
бедре	Badreh
бхопал	Bhopal
ариенцо	Arienzo
вардзиа	Vardzia
баяно	Baiano,_Campania
вестинье	Vestignè
велика-горица	Velika_Gorica
бизенья	Bisegna
веролануова	Verolanuova
агринион	Agrinio
ассалуйе	Asaluyeh
аквапенденте	Acquapendente
вилья-дель-росарио	Villa_del_Rosario,_Norte_de_Santander
бугуджате	Buguggiate
вильядангос-дель-парамо	Villadangos_del_Páramo
вилья-дель-росарио,колумбия	Villa_del_Rosario,_Norte_de_Santander
бид	Beed
вердалсёра	Verdalsøra
брузаско	Brusasco
аделанто	Adelanto,_California
велье	Veglie
альбиньязего	Albignasego
бриссаго-вальтравалья	Brissago-Valtravaglia
бентон	Benton,_Arkansas
биг-лейк,миннесота	Big_Lake,_Minnesota
вильямартин-де-дон-санчо	Villamartín_de_Don_Sancho
вальдемора	Valdemora
аликун-де-ортега	Alicún_de_Ortega
ветлуга	Vetluga
багуэс	Bagüés
варняй	Varniai
абботсфорд,британская колумбия	Abbotsford,_British_Columbia
вильянуэва-де-богас	Villanueva_de_Bogas
алтуна	Altoona,_Pennsylvania
винкьятуро	Vinchiaturo
вигонца	Vigonza
абриола	Abriola
бассано-брешано	Bassano_Bresciano
базель	Basel
абехуэла	Abejuela
боргетто-лодиджано	Borghetto_Lodigiano
вольтурино	Volturino
вальдерас	Valderas
бакус,миннесота	Backus,_Minnesota
анадырь	Anadyr_(town)
арвад	Arwad
бок,миннесота	Bock,_Minnesota
бузет	Buzet
винкларн	Winklarn,_Austria
вайкинг,город	Viking,_Minnesota
вадильо-де-ла-сьерра	Vadillo_de_la_Sierra
вильянуэва-дель-дуке	Villanueva_del_Duque
аффи	Affi
арена,калабрия	Arena,_Calabria
боргоново-валь-тидоне	Borgonovo_Val_Tidone
валдоста	Valdosta,_Georgia
альгарробо,колумбия	Algarrobo,_Magdalena
вуктыл	Vuktyl
азнакаево	Aznakayevo
бей-сити	Bay_City,_Michigan
ананд	Anand,_Gujarat
бергерн-им-дункельштайнервальд	Bergern_im_Dunkelsteinerwald
вельке слеменце	Veľké_Slemence
вилламирольо	Villamiroglio
вильялькон	Villalcón
боргарелло	Borgarello
бильбао	Bilbao
анкарано	Ancarano
биг-фолс,миннесота	Big_Falls,_Minnesota
вильяэскуса-ла-сомбрия	Villaescusa_la_Sombría
беч	Biecz
амбой,город	Amboy,_Minnesota
айтос	Aytos
бордигера	Bordighera
ай-ханум	Ai-Khanoum
висьедо	Visiedo
бреда	Breda
аелли	Aielli
ваконе	Vacone
брион,испания	Brión
арройо-де-сан-серван	Arroyo_de_San_Serván
баргальи	Bargagli
виборг	Viborg,_Denmark
асака,япония	Asaka,_Saitama
вильянуэва-дель-рей	Villanueva_del_Rey
баньоли-ди-сопра	Bagnoli_di_Sopra
вильярино-де-лос-айрес	Villarino_de_los_Aires
блуминг-прери,город	Blooming_Prairie,_Minnesota
алькубьерре	Alcubierre
армено	Armeno
беллегра	Bellegra
вильяморатьель-де-лас-матас	Villamoratiel_de_las_Matas
бошань	Boshan_District
браоне	Braone
баотоу	Baotou
аффиле	Affile
альбервиль	Albertville
буссо	Busso
баньяра-ди-романья	Bagnara_di_Romagna
вальдепьелаго	Valdepiélago
алтура	Altura,_Minnesota
вильнюс	Vilnius
бхилвара	Bhilwara
бедеро-валькувия	Bedero_Valcuvia
бербанк	Burbank,_California
буональберго	Buonalbergo
аксамс	Axams
блэкфут,айдахо	Blackfoot,_Idaho
виллаверла	Villaverla
борго-сан-лоренцо	Borgo_San_Lorenzo
абтенау	Abtenau
блоне	Błonie
блаж	Blaj
барри,миннесота	Barry,_Minnesota
баттерфилд,миннесота	Butterfield,_Minnesota
барроу,аляска	Barrow,_Alaska
вильяфранка-де-ла-сьерра	Villafranca_de_la_Sierra
бабушкин,бурятия	Babushkin_(town)
валле-дель-анджело	Valle_dell'Angelo
врбовско	Vrbovsko
бату,город	Batu_(city)
ампарафаравола	Amparafaravola
барнум,миннесота	Barnum,_Minnesota
вилланова-соларо	Villanova_Solaro
бхинга	Bhinga
веяно	Vejano
барбареско,город	Barbaresco,_Piedmont
беттиах	Bettiah
берутув	Bierutów
альдеануэва-де-ла-вера	Aldeanueva_de_la_Vera
берра	Berra
ас-невес	As_Neves
вильянуэва-де-лас-торрес	Villanueva_de_las_Torres
вильянуэва-дель-кампильо	Villanueva_del_Campillo
барпета	Barpeta
высока,город	Wysoka
альмалуэс	Almaluez
вильягонсало	Villagonzalo
вецци-портио	Vezzi_Portio
акино	Aquino
булонь-сюр-мер	Boulogne-sur-Mer
брокен-эрроу	Broken_Arrow,_Oklahoma
авара,город	Awara,_Fukui
блайтвилл	Blytheville,_Arkansas
ангьяри	Anghiari
бхаруч	Bharuch
беллфлауэр	Bellflower,_California
бялогард	Białogard
бордано	Bordano
виллафранка-тиррена	Villafranca_Tirrena
вайнграбен	Weingraben
болдуин-парк,калифорния	Baldwin_Park,_California
бржецлав	Břeclav
бехар	Bahar,_Iran
бердестан	Bardestan
бартошице	Bartoszyce
амстердам	Amsterdam
бизачча	Bisaccia
бреа-де-арагон	Brea_de_Aragón
биробиджан	Birobidzhan
бодх-гая	Bodh_Gaya
валь-делла-торре	Val_della_Torre
верндейл	Verndale,_Minnesota
баттамбанг,город	Battambang
бхаратпур	Bharatpur,_Rajasthan
волин	Wolin_(town)
варенна	Varenna
вильяэрмоса-дель-кампо	Villahermosa_del_Campo
ахтубинск	Akhtubinsk
вёнзув	Wiązów
вильягалихо	Villagalijo
вилла-коллемандина	Villa_Collemandina
ардино	Ardino
бехшехр	Behshahr
варкала	Varkala
вильямандос	Villamandos
бернсвилл,миннесота	Burnsville,_Minnesota
бреме	Breme
алупка	Alupka
аморий	Amorium
ала-деи-сарди	Alà_dei_Sardi
вальверде-де-леганес	Valverde_de_Leganés
вальдеункар	Valdehúncar
брейнерд,город	Brainerd,_Minnesota
вердерио-инфериоре	Verderio_Inferiore
бадулла	Badulla
алонисос	Alonnisos
бановичи	Banovići
варезе-лигуре	Varese_Ligure
аксум	Axum
батлер,миссури	Butler,_Missouri
актонвейл	Acton_Vale,_Quebec
ванн	Vannes
бабахейдар	Babaheydar
община венло	Venlo
бяла-писка	Biała_Piska
боргетто-д’арроша	Borghetto_d'Arroscia
вальдекабальерос	Valdecaballeros
вайдхофен-ан-дер-тайя-ланд	Waidhofen_an_der_Thaya-Land
бигелоу	Bigelow,_Minnesota
байвабик	Biwabik,_Minnesota
барамула	Baramulla
виллаперуччо	Villaperuccio
вильянгомес	Villangómez
вега-де-инфансонес	Vega_de_Infanzones
верхняя салда	Verkhnyaya_Salda
бассет,небраска	Bassett,_Nebraska
андрейс	Andreis
вильяблино	Villablino
валеджо-суль-минчо	Valeggio_sul_Mincio
вильяфранка-де-лос-кабальерос	Villafranca_de_los_Caballeros
боджнурд	Bojnord
восход	Voskhod,_Moscow_Oblast
альканьисо	Alcañizo
вейсеяй	Veisiejai
бадия-тедальда	Badia_Tedalda
баски	Baschi
батоньтеренье	Bátonyterenye
боржоми,город	Borjomi
бухбах	Buchbach,_Austria
балестрино	Balestrino
вольнянск	Vilniansk
базико	Basicò
вайтерсфельд	Weitersfeld
агартала	Agartala
вянта	Venta
белз	Belz
белу-вали	Belo_Vale
виске	Vische
бортиджадас	Bortigiadas
бургос	Burgos,_Sardinia
вурден	Woerden
атфих	Atfih
айас	Ayas,_Adana
аноя	Anoia,_Calabria
арона,италия	Arona,_Piedmont
вимпассинг-на-лайте	Wimpassing_an_der_Leitha
валле-моссо	Valle_Mosso
вера-де-монкайо	Vera_de_Moncayo
вижница	Vyzhnytsia
аелло-калабро	Aiello_Calabro
беллвилл,иллинойс	Belleville,_Illinois
виллакьяра	Villachiara
боадилья-дель-камино	Boadilla_del_Camino
алкобаса	Alcobaça,_Portugal
витулано	Vitulano
бигелоу,город	Bigelow,_Minnesota
бомонт,техас	Beaumont,_Texas
борго-вальсугана	Borgo_Valsugana
аладрен	Aladrén
альтах	Altach
варри	Warri
вербания	Verbania
вильянуэва-де-арганьо	Villanueva_de_Argaño
бобова	Bobowa
батак	Batak,_Bulgaria
брукс,миннесота	Brooks,_Minnesota
вернон-сентер,миннесота	Vernon_Center,_Minnesota
ахен	Aachen
алонте	Alonte
бад-хофгастайн	Bad_Hofgastein
бен	Ben,_Iran
барбьянелло	Barbianello
беллари	Bellary
барделло	Bardello
балта	Balta,_Ukraine
альпухарра-де-ла-сьерра	Alpujarra_de_la_Sierra
биджу	Bejou,_Minnesota
буксар	Buxar
бассиано	Bassiano
вилласор	Villasor
валлориате	Valloriate
вальденштайн	Waldenstein
вимодроне	Vimodrone
барете	Barete
анвик	Anvik,_Alaska
бад-гойзерн	Bad_Goisern
барра-ду-куараи	Barra_do_Quaraí
ачеренца	Acerenza
атуотер,миннесота	Atwater,_Minnesota
бельфорте-дель-кьенти	Belforte_del_Chienti
везиме	Vesime
бальдикьери-д’асти	Baldichieri_d'Asti
висла,город	Wisła
виллард	Villard,_Minnesota
бад-бухау	Bad_Buchau
брэдли	Bradley,_Arkansas
баньярия	Bagnaria
броссо	Brosso
бенгела	Benguela
белл-плейн	Belle_Plaine,_Minnesota
вулф-лейк,миннесота	Wolf_Lake,_Minnesota
вильяррабе	Villarrabé
валеджо	Valeggio,_Lombardy
боттичино	Botticino
