буэнос-айрес,аргентина	Buenos_Aires
валлемайо,италия	Vallemaio
апетлон,австрия	Apetlon
айзкраукле,латвия	Aizkraukle
борго-сан-мартино,италия	Borgo_San_Martino
вахдаттийе,иран	Vahdatiyeh
бежецк,россия,тверская область	Bezhetsk
бейпорт,город,миннесота,соединённые штаты америки,сша,америка	Bayport,_Minnesota
веноза,италия	Venosa
вайден-ан-дер-марх,австрия	Weiden_an_der_March
бомпорто,италия	Bomporto
вилаплана,испания	Vilaplana
багалкот,индия	Bagalkot
абенхибре,испания	Abengibre
анталья,турция	Antalya
вишши-брод,чехия	Vyšší_Brod
амрели,индия	Amreli
борка-ди-кадоре,италия	Borca_di_Cadore
ваприо-д’агонья,италия	Vaprio_d'Agogna
баскапе,италия	Bascapè
бридж-сити,техас,соединённые штаты америки,сша,америка	Bridge_City,_Texas
бад-тибира,	Bad-tibira
амбатундразака,мадагаскар	Ambatondrazaka
алькампель,испания	Alcampell
бранд-нагельберг,австрия	Brand-Nagelberg
вильяморатьель-де-лас-матас,испания	Villamoratiel_de_las_Matas
акируно,	Akiruno,_Tokyo
бафк,иран	Bafq
бордолано,италия	Bordolano
акрон,огайо,соединённые штаты америки,сша,америка	Akron,_Ohio
вальверде-де-леганес,испания	Valverde_de_Leganés
битетто,италия	Bitetto
брэдли,арканзас,соединённые штаты америки,сша,америка	Bradley,_Arkansas
арнаско,италия	Arnasco
анапа,россия,краснодарский край	Anapa
алор-сетар,малайзия	Alor_Setar
амазено,италия	Amaseno
абехуэла,испания	Abejuela
алверка-ду-рибатежу,португалия	Alverca_do_Ribatejo
броквилл,онтарио,канада	Brockville
боргорикко,италия	Borgoricco
брвинув,польша	Brwinów
арсаго-сеприо,италия	Arsago_Seprio
аккуаланья,италия	Acqualagna
валледольмо,италия	Valledolmo
вальвазоне,италия	Valvasone
альцано-скривия,италия	Alzano_Scrivia
вильяр-де-лос-наваррос,испания	Villar_de_los_Navarros
брейдентон,	Bradenton,_Florida
агуалва-касен,португалия	Agualva-Cacém
бриатико,италия	Briatico
аркадак,россия,саратовская область	Arkadak
барранкабермеха,колумбия	Barrancabermeja
вакаяма,город,	Wakayama,_Wakayama
альтилия,италия	Altilia
альбьяте,италия	Albiate
винкларн,австрия,нижняя австрия,австрия	Winklarn,_Austria
ампарафаравола,мадагаскар	Amparafaravola
батуми,грузия	Batumi
вааса,	Vaasa
абертами,чехия	Abertamy
айтос,болгария	Aytos
андлерсдорф,австрия	Andlersdorf
боссоласко,италия	Bossolasco
бояно,италия	Bojano
винтертур,швейцария	Winterthur
вилланова-дель-силларо,италия	Villanova_del_Sillaro
альфано,италия	Alfano
бюрг-фёстенхоф,австрия	Bürg-Vöstenhof
баньос-де-вальдеарадос,испания	Baños_de_Valdearados
бузулук	Buzuluk
вальбревенна,италия	Valbrevenna
вальдекуэнка,испания	Valdecuenca
анфо,италия	Anfo
банкура,индия	Bankura
алькосеро-де-мола,испания	Alcocero_de_Mola
бурон,леон,	Burón
виваро,италия	Vivaro
висфлек,австрия	Wiesfleck
бенакасон,испания	Benacazón
барассо,италия	Barasso
альоса,испания	Alloza
антеринг,австрия	Anthering
альтабле,испания	Altable
барроу-ин-фернесс,камбрия	Barrow-in-Furness
атонуэво,колумбия	Hatonuevo
вонджу,республика корея,корея,южная корея	Wonju
аншан,	Anshan_(Persia)
всхова,польша	Wschowa
альцате-брианца,италия	Alzate_Brianza
блафтон,город,миннесота,соединённые штаты америки,сша,америка	Bluffton,_Minnesota
астипалея,остров,греция	Astypalaia
вали-ди-камбра,	Vale_de_Cambra
архангельск,россия,архангельская область	Arkhangelsk
вильякехида,испания	Villaquejida
вильель,испания	Villel
бехихар,испания	Begíjar
бельви,италия,италия	Belvì
ампеццо,италия	Ampezzo
аелло-дель-фриули,италия	Aiello_del_Friuli
альмединилья,испания	Almedinilla
верджате,италия	Vergiate
батхинда,индия	Bathinda
винники,украина	Vynnyky
вигиццоло-д’эсте,италия	Vighizzolo_d'Este
борго-верчелли,италия	Borgo_Vercelli
барбания,италия	Barbania
баймак,россия,башкортостан	Baymak
альсерио,италия	Alserio
алар-дель-рей,испания	Alar_del_Rey
анбарабад,иран	Anbarabad
багио,филиппины	Baguio
вишакхапатнам,индия	Visakhapatnam
вайдхофен-ан-дер-ибс,австрия	Waidhofen_an_der_Ybbs
вентикано,италия	Venticano
бачено,италия	Baceno
валенсия-де-лас-торрес,испания	Valencia_de_las_Torres
барруэло-де-сантульян,испания	Barruelo_de_Santullán
воскопоя,	Moscopole
бивертон,орегон,соединённые штаты америки,сша,америка	Beaverton,_Oregon
виго,испания	Vigo
вильяррика,коммуна,чили	Villarrica,_Chile
азнакаево,россия,татарстан	Aznakayevo
бойд,город,миннесота,соединённые штаты америки,сша,америка	Boyd,_Minnesota
альтидона,италия	Altidona
баумгартен,бургенланд,австрия	Baumgarten,_Burgenland
аета,италия	Aieta
варесе,италия	Varese
августов,польша	Augustów
билокси,миссисипи,соединённые штаты америки,сша,америка	Biloxi,_Mississippi
борго-сан-джованни,италия	Borgo_San_Giovanni
ай-ханум,	Ai-Khanoum
барле-хертог,бельгия	Baarle-Hertog
ариелли,италия	Arielli
баксан,	Baksan
вулвертон,город,миннесота,соединённые штаты америки,сша,америка	Wolverton,_Minnesota
альбаредо-арнабольди,италия	Albaredo_Arnaboldi
аккуанегра-кремонезе,италия	Acquanegra_Cremonese
буксар,город,	Buxar
велика-горица,хорватия	Velika_Gorica
брайант,арканзас,соединённые штаты америки,сша,америка	Bryant,_Arkansas
борго-а-моццано,италия	Borgo_a_Mozzano
арборио,италия	Arborio,_Piedmont
бедолло,италия	Bedollo
вальдисотто,италия	Valdisotto
ванген-на-аре,швейцария	Wangen_an_der_Aare
бад-фигаун,австрия	Bad_Vigaun
варси,италия	Varsi
арпино,италия	Arpino
бафусам,камерун	Bafoussam
вилла-дель-боско,италия	Villa_del_Bosco
вале,грузия,грузия	Vale,_Georgia
вадул-луй-водэ,молдавия	Vadul_lui_Vodă
арджента,италия	Argenta,_Emilia–Romagna
вентспилс,	Ventspils
антандрос,	Antandrus
вендоне,италия	Vendone
брузаско,италия	Brusasco
ахваз,иран	Ahvaz
волос,город,греция	Volos
аюэла,испания	Ayuela
авалон,калифорния,соединённые штаты америки,сша,америка	Avalon,_California
веркураго,италия	Vercurago
белла,коммуна,италия	Bella,_Basilicata
альфос-де-санта-гадеа,испания	Alfoz_de_Santa_Gadea
аулла,италия	Aulla
бедиццоле,италия	Bedizzole
вело-веронезе,италия	Velo_Veronese
ариано-ирпино,италия	Ariano_Irpino
бобова,город,польша	Bobowa
ахтырка,украина	Okhtyrka
аверара,италия	Averara
баттифолло,италия	Battifollo
бадами,индия	Badami
виллар-дора,италия	Villar_Dora
будё,	Bodø
богухвала,город,польша	Boguchwała
абдон-батиста,бразилия	Abdon_Batista
вальс-зиценхайм,австрия	Wals-Siezenheim
вианден,люксембург	Vianden
аспиндза,джорджия	Aspindza
вилланова-трускеду,италия	Villanova_Truschedu
артём,город,россия,приморский край	Artyom,_Russia
венегоно-супериоре,италия	Venegono_Superiore
вильямедьяна,испания	Villamediana
ванг,австрия,нижняя австрия,австрия	Wang,_Austria
бяла-подляска,польша	Biała_Podlaska
аннополь,город,польша	Annopol
аркадия,калифорния,соединённые штаты америки,сша,америка	Arcadia,_California
арнара,италия	Arnara
вильяльба-де-дуэро,испания	Villalba_de_Duero
вальмадрера,италия	Valmadrera
анталаха,мадагаскар	Antalaha
броуэрвилл,город,миннесота,соединённые штаты америки,сша,америка	Browerville,_Minnesota
виджу,италия	Viggiù
арроне,италия	Arrone
вальденбург,базель-ланд,швейцария	Waldenburg,_Switzerland
вервио,италия	Vervio
анурадхапура,шри-ланка	Anuradhapura
бизенти,италия	Bisenti
вильяверде-дель-рио,испания	Villaverde_del_Río
арчидоссо,италия	Arcidosso
бетел-хайтс,арканзас,соединённые штаты америки,сша,америка	Bethel_Heights,_Arkansas
бунди,индия	Bundi
бирсфельден,швейцария	Birsfelden
ауэрсталь,австрия	Auersthal
агаджари,хузестан,иран	Aghajari
арройо-де-ла-лус,испания	Arroyo_de_la_Luz
венсильон,испания	Vencillón
вильяр-дель-сальс,испания	Villar_del_Salz
вальдеррабано,испания	Valderrábano
битча,словакия	Bytča
банци,италия	Banzi
вилла-ди-тирано,италия	Villa_di_Tirano
ваяно,италия	Vaiano
василькув,польша	Wasilków
агадир,марокко	Agadir
виско,италия	Visco,_Friuli
аренас-де-сан-педро,испания	Arenas_de_San_Pedro
вайтра,австрия	Weitra
бакурцихе,джорджия	Bakurtsikhe
войковице,польша	Wojkowice
вальдефресно,испания	Valdefresno
анголь,чили	Angol
аннандейл,город,миннесота,соединённые штаты америки,сша,америка	Annandale,_Minnesota
виллафранка-ди-верона,италия	Villafranca_di_Verona
альдейре,испания	Aldeire
волхов,город,россия,ленинградская область	Volkhov
баизо,италия	Baiso
аньцю,китайская народная республика,китай,кнр	Anqiu
виллимпента,италия	Villimpenta
алобрас,испания	Alobras
банак,иран	Bank,_Iran
ветралла,италия	Vetralla
вильяторо,испания	Villatoro
айгуамурсия,испания	Aiguamúrcia
блессаньо,италия	Blessagno
виллетта-барреа,италия	Villetta_Barrea
альфонсине,италия	Alfonsine
видеркер-вилидж,арканзас,соединённые штаты америки,сша,америка	Wiederkehr_Village,_Arkansas
айруно,италия	Airuno
брумфилд,колорадо,соединённые штаты америки,сша,америка	Broomfield,_Colorado
вистрорио,италия	Vistrorio
атрани,италия	Atrani
атрипальда,италия	Atripalda
алессандрия,италия	Alessandria
боргетто-санто-спирито,италия	Borghetto_Santo_Spirito
барпета,индия	Barpeta
барбареско,город,италия	Barbaresco,_Piedmont
вальмакка,италия	Valmacca
валле-ди-кадоре,италия	Valle_di_Cadore
анцола-д’оссола,италия	Anzola_d'Ossola
бедония,италия	Bedonia
винсхотен,нидерланды	Winschoten
виксберг,миссисипи,соединённые штаты америки,сша,америка	Vicksburg,_Mississippi
вильериас-де-кампос,испания	Villerías_de_Campos
валлелунга-пратамено,италия	Vallelunga_Pratameno
винклерн,австрия	Winklern
бузаки,италия	Busachi
вигазьо,италия	Vigasio
балаклея,украина	Balakliia
асина,	Asine
валло-торинезе,италия	Vallo_Torinese
боргаро-торинезе,италия	Borgaro_Torinese
бодокена,бразилия	Bodoquena
ардоре,италия	Ardore
аренас-дель-рей,испания	Arenas_del_Rey
вальдеторрес,испания	Valdetorres
ветлуга,город,россия,нижегородская область	Vetluga
арзон,франция	Arzon
баттуда,италия	Battuda
бова-марина,италия	Bova_Marina
вальдоррос,	Valdorros
бейт-шеан,израиль	Beit_She'an
варка,город,польша	Warka
алькубьерре,испания	Alcubierre
бургос,сардиния,италия	Burgos,_Sardinia
азуни,сардиния,италия	Asuni
алькончель-де-ариса,испания	Alconchel_de_Ariza
виккьо,италия	Vicchio
вальброна,италия	Valbrona
барбьянелло,италия	Barbianello
бердехо,испания	Berdejo
богатыня,польша	Bogatynia
билина,город,чехия	Bílina
валье-дель-салаби,испания	Valle_del_Zalabí
бордигера,италия	Bordighera
балчик,болгария	Balchik
анверса-дельи-абруцци,италия	Anversa_degli_Abruzzi
валлинфреда,италия	Vallinfreda
валлефьорита,италия	Vallefiorita
воронеж,россия,воронежская область	Voronezh
бергерн-им-дункельштайнервальд,австрия	Bergern_im_Dunkelsteinerwald
варняй,литва	Varniai
валсад,индия	Valsad
вендроньо,италия	Vendrogno
вальмала,италия,италия	Valmala,_Italy
викторвилл,калифорния,соединённые штаты америки,сша,америка	Victorville,_California
алмело,нидерланды	Almelo
беч,польша	Biecz
брушано,италия	Brusciano
бельпассо,италия	Belpasso
аспанг-маркт,австрия	Aspang-Markt
аллен,валле-д’аоста,италия	Allein
брончалес,испания	Bronchales
бендер-дейлем,иран	Bandar_Deylam
биольо,италия	Bioglio
ангронья,италия	Angrogna
бородино,город,россия	Borodino,_Krasnoyarsk_Krai
асайла,испания	Azaila
биреджик,турция	Birecik
амавида,испания	Amavida
атуотер,город,миннесота,соединённые штаты америки,сша,америка	Atwater,_Minnesota
васто,италия	Vasto
бановце-над-бебравоу,словакия	Bánovce_nad_Bebravou
актобе,казахстан	Aktobe
атена-лукана,италия	Atena_Lucana
брессана-боттароне,италия	Bressana_Bottarone
валье-де-самансас,испания	Valle_de_Zamanzas
бабушкин,бурятия,россия,бурятия	Babushkin_(town)
брум,австралия,австралия	Broome,_Western_Australia
амман,иордания	Amman
ателла,италия	Atella,_Basilicata
бардальюр,испания	Bardallur
барипада,индия	Baripada
батала,индия	Batala
бовалино,италия	Bovalino
альба-де-серрато,испания	Alba_de_Cerrato
баньоло-мелла,италия	Bagnolo_Mella
будзен,	Buzen,_Fukuoka
бриджпорт,коннектикут,соединённые штаты америки,сша,америка	Bridgeport,_Connecticut
варко-сабино,италия	Varco_Sabino
альбано-верчеллезе,италия	Albano_Vercellese
абиджан,кот-д’ивуар	Abidjan
брест,франция,франция	Brest,_France
вигольцоне,италия	Vigolzone
адма,	Admah
арёгала,литва	Ariogala
белишче,хорватия	Belišće
айос-николаос,крит,греция	Agios_Nikolaos,_Crete
вилланова-туло,италия	Villanova_Tulo
абакалики,нигерия	Abakaliki
алван,иран	Alvan,_Iran
ансан,республика корея,корея,южная корея	Ansan
вифлеем,	Bethlehem
венглинец,польша	Węgliniec
авелла,италия	Avella
висейлия,соединённые штаты америки,сша,америка	Visalia,_California
веллуру,индия	Vellore
баньоло-ин-пьяно,италия	Bagnolo_in_Piano
бризигелла,италия	Brisighella
вильяльдемиро,испания	Villaldemiro
баньоло-дель-саленто,италия	Bagnolo_del_Salento
акуне,	Akune,_Kagoshima
ансон,республика корея,корея,южная корея	Anseong
варедо,италия	Varedo
вазия,италия	Vasia
выхма,эстония	Võhma
броумов,чехия	Broumov
вязьма,россия	Vyazma
берутув,польша	Bierutów
валь-де-сан-лоренсо,испания	Val_de_San_Lorenzo
блевио,италия	Blevio
банкетте,италия	Banchette
альтхофен,австрия	Althofen
виснар,испания	Víznar
бедеро-валькувия,италия	Bedero_Valcuvia
бемиджи,соединённые штаты америки,сша,америка	Bemidji,_Minnesota
батон-руж,соединённые штаты америки,сша,америка	Baton_Rouge,_Louisiana
амброз,дакота,северная дакота,соединённые штаты америки,сша,америка	Ambrose,_North_Dakota
боруджен,иран	Borujen
аранда-де-монкайо,испания	Aranda_de_Moncayo
андало,италия	Andalo
бренна,коммуна,италия	Brenna,_Lombardy
бербегаль,испания	Berbegal
бланкас,испания	Blancas
вигоне,италия	Vigone
вьяндар-де-ла-вера,испания	Viandar_de_la_Vera
алагир,россия,северная осетия	Alagir
вербикаро,италия	Verbicaro
алвар,индия	Alwar
анцухихи,	Antsohihy
вильяфеличе,испания	Villafeliche
аньян,китайская народная республика,китай,кнр	Anyang
барберино-ди-муджелло,италия	Barberino_di_Mugello
бехарестан,иран	Baharestan,_Isfahan
альдеануэва-де-ла-вера,испания	Aldeanueva_de_la_Vera
бургильос-дель-серро,испания	Burguillos_del_Cerro
аннаба,алжир	Annaba
бровелло-карпуньино,италия	Brovello-Carpugnino
вильялькон,испания	Villalcón
альдеануэва-де-барбарроя,испания	Aldeanueva_de_Barbarroya
алькифе,испания	Alquife
браоне,италия	Braone
альбиссола-марина,италия	Albissola_Marina
виново,италия	Vinovo
априльяно,италия	Aprigliano
берово,македония	Berovo
вирбалис,литва	Virbalis
адыгейск,россия,адыгея	Adygeysk
вецци-портио,италия	Vezzi_Portio
анджари,италия	Angiari
аидзувакамацу,япония	Aizuwakamatsu,_Fukushima
артёмовский,	Artyomovsky,_Sverdlovsk_Oblast
аррапха,	Arrapha
бурханпур,индия	Burhanpur
вильяморонта,испания	Villamoronta
альфакар,испания	Alfacar
белл-гарденс,соединённые штаты америки,сша,америка	Bell_Gardens,_California
волноваха,украина	Volnovakha
ваттаро,италия	Vattaro
боскония,колумбия	Bosconia
верджемоли,италия	Vergemoli
баборув,польша	Baborów
велинград,болгария	Velingrad
волин,город,польша	Wolin_(town)
бина,город,миннесота,соединённые штаты америки,сша,америка	Bena,_Minnesota
бельфорте-аль-изауро,италия	Belforte_all'Isauro
болотана,италия	Bolotana
виллар-сан-костанцо,италия	Villar_San_Costanzo
волочиск,	Volochysk
болниси,	Bolnisi
артштеттен-пёбринг,австрия	Artstetten-Pöbring
боре,италия,италия	Bore,_Emilia-Romagna
адамс,город,миннесота,соединённые штаты америки,сша,америка	Adams,_Minnesota
велилья-де-эбро,испания	Velilla_de_Ebro
бьянцоне,италия	Bianzone
альтлихтенварт,австрия	Altlichtenwarth
алькала-ла-реаль,испания	Alcalá_la_Real
амаро,коммуна,италия	Amaro,_Friuli
абзам,австрия	Absam
авеньо,италия	Avegno,_Liguria
борба,	Borba,_Portugal
виллафранка-тиррена,италия	Villafranca_Tirrena
баодин,китайская народная республика,китай,кнр	Baoding
бильче-золотое,район,борщёвский район,борщёвский район	Bilche_Zolote
букс,санкт-галлен,швейцария	Buchs,_St._Gallen
авеллино,италия	Avellino
бенин-сити,нигерия	Benin_City
бари-сардо,италия	Bari_Sardo
берген,норвегия	Bergen
альвито,италия	Alvito,_Lazio
бизачча,италия	Bisaccia
аппиньяно,италия	Appignano
аллувьони-камбио,италия	Alluvioni_Cambiò
априка,италия	Aprica
боттидда,италия	Bottidda
айсанти,город,миннесота,соединённые штаты америки,сша,америка	Isanti,_Minnesota
бонито,италия	Bonito,_Campania
веттинген,швейцария	Wettingen
антау,австрия	Antau
виола,город,италия	Viola,_Piedmont
бенкулу,город,индонезия	Bengkulu_(city)
бхаруч,индия	Bharuch
виллануова-суль-клизи,италия	Villanuova_sul_Clisi
бессемер,алабама,соединённые штаты америки,сша,америка	Bessemer,_Alabama
буйнакск,россия,дагестан	Buynaksk
вилланова-соларо,италия	Villanova_Solaro
атценбруг,австрия	Atzenbrugg
виагранде,италия	Viagrande
вастоджирарди,италия	Vastogirardi
вильнюс,	Vilnius
акисима,япония	Akishima,_Tokyo
вилья-дель-росарио,колумбия,колумбия	Villa_del_Rosario,_Norte_de_Santander
белая калитва,россия,ростовская область	Belaya_Kalitva
босоо,испания	Bozoó
биннинген,швейцария	Binningen,_Switzerland
бакуриани,грузия	Bakuriani
асака,япония,	Asaka,_Saitama
бансвара,индия	Banswara
вигуццоло,италия	Viguzzolo
батл-лейк,город,миннесота,соединённые штаты америки,сша,америка	Battle_Lake,_Minnesota
авио,италия	Avio,_Trentino
варкала,индия	Varkala
альмуньенте,испания	Almuniente
варкаус,	Varkaus
виджанелло,италия,италия	Viggianello
атланта,	Atlanta
бозмен,монтана,соединённые штаты америки,сша,америка	Bozeman,_Montana
вибо-валентия,италия	Vibo_Valentia
бриалья,италия	Briaglia
агео,	Ageo,_Saitama
вильяленгуа,испания	Villalengua
арадео,италия	Aradeo
безана-ин-брианца,италия	Besana_in_Brianza
ачалда,индия	Achhalda
боффалора-д’адда,италия	Boffalora_d'Adda
авейнте,испания	Aveinte
вильфранш-сюр-мер,франция	Villefranche-sur-Mer
вилла-бартоломея,италия	Villa_Bartolomea
виборг,город,дания	Viborg,_Denmark
ахен,германия	Aachen
барлетта,италия	Barletta
алтеймер,арканзас,	Altheimer,_Arkansas
вольпаго-монтелло,италия	Volpago_del_Montello
бадулес,испания	Badules
вильясандино,испания	Villasandino
вионе,италия	Vione
бояново,польша	Bojanowo
вуллонгонг,австралия	Wollongong
барге,италия	Barghe
авара,город,	Awara,_Fukui
адана,турция	Adana
астара,иран,иран	Astara,_Iran
амагасаки,	Amagasaki
ананд,город,гуджарат,индия	Anand,_Gujarat
аинса-собрарбе,испания	Aínsa-Sobrarbe
вытегра,россия,вологодская область	Vytegra
бьено,италия	Bieno
винтерсвейк,нидерланды	Winterswijk
бейт-эль,израиль	Beit_El
бахадургарх,индия	Bahadurgarh
бахрайч,	Bahraich
вранов-над-топлёу,словакия	Vranov_nad_Topľou
вадильо-де-ла-сьерра,испания	Vadillo_de_la_Sierra
арцана,италия	Arzana
альберона,италия	Alberona
барлинек,польша	Barlinek
бадарийская культура,	Badari_culture
баньоло-ди-по,италия	Bagnolo_di_Po
бернеццо,италия	Bernezzo
айзенштадт,австрия	Eisenstadt
амандола,италия	Amandola
бастия-умбра,италия	Bastia_Umbra
бейт-ханун,	Beit_Hanoun
вроутек,чехия	Vroutek
бова,италия	Bova,_Calabria
витербо,италия	Viterbo
бельмонте-ин-сабина,италия	Belmonte_in_Sabina
баге-мелек,иран	Bagh-e_Malek
боббио-пелличе,италия	Bobbio_Pellice
арден-хилс,город,миннесота,	Arden_Hills,_Minnesota
анадырь,россия,чукотский автономный округ	Anadyr_(town)
вильяфранка-де-лос-кабальерос,испания	Villafranca_de_los_Caballeros
боруджерд,иран	Borujerd
аппьяно-джентиле,италия	Appiano_Gentile
андорно-микка,италия	Andorno_Micca
баку,азербайджан	Baku
бене-ваджиенна,италия	Bene_Vagienna
варцо,италия	Varzo
бакингхем,квебек,	Buckingham,_Quebec
берегуардо,италия	Bereguardo
амбон,город,	Ambon,_Maluku
вишков,чехия	Vyškov
бабахейдар,иран	Babaheydar
бельцы,молдавия	Bălți
вернон-сентер,город,миннесота,соединённые штаты америки,сша,америка	Vernon_Center,_Minnesota
алварейдо,город,миннесота,соединённые штаты америки,сша,америка	Alvarado,_Minnesota
антрона-скьеранко,италия	Antrona_Schieranco
бовеньо,италия	Bovegno
бонеа,италия	Bonea
боббио,италия,италия	Bobbio
битти,сардиния,италия	Bitti
вайлате,италия	Vailate
виголо-ваттаро,италия	Vigolo_Vattaro
антсла,эстония	Antsla
априкале,италия	Apricale
вирудунагар,	Virudhunagar
ангикс,испания	Anguix
борегард,приход,луизиана,соединённые штаты америки,сша,америка	Beauregard_Parish,_Louisiana
вайле,дания	Vejle
бадия-полезине,италия	Badia_Polesine
амион,ливан	Amioun
вилламанья,италия	Villamagna
актонвейл,канада	Acton_Vale,_Quebec
вальдеорна,испания	Valdehorna
виллафранка-ин-луниджана,италия	Villafranca_in_Lunigiana
бийск,россия,алтайский край	Biysk
акшак,	Akshak
бродница,воеводство,куявско-поморское воеводство,польша	Brodnica
биббьена,италия	Bibbiena
вяземский,город,россия,хабаровский край	Vyazemsky,_Khabarovsk_Krai
базеличе,италия	Baselice
бормла,мальта	Cospicua
ван-бьюрен,арканзас,соединённые штаты америки,сша,америка	Van_Buren,_Arkansas
афрагола,италия	Afragola
вольбром,польша	Wolbrom
баланджеро,италия	Balangero
волжск,россия,марий эл	Volzhsk
араусо-де-сальсе,испания	Arauzo_de_Salce
белланте,италия	Bellante
ардаули,италия	Ardauli
валье-де-серрато,испания	Valle_de_Cerrato
веркана,италия	Vercana
васлуй,румыния	Vaslui
бельмонте-калабро,италия	Belmonte_Calabro
вильярехо-де-монтальбан,	Villarejo_de_Montalbán
бодайбо,город,россия,иркутская область	Bodaybo
вилла-аньедо,италия	Villa_Agnedo
вордингборг,дания	Vordingborg
вердерио-инфериоре,италия	Verderio_Inferiore
брено,италия,италия	Breno
боттино,дакота,северная дакота,соединённые штаты америки,сша,америка	Bottineau,_North_Dakota
вайонт,италия	Vajont
бешикдюзю,турция	Beşikdüzü
вудбери,миннесота,соединённые штаты америки,сша,америка	Woodbury,_Minnesota
библ,ливан	Byblos
баоне,италия	Baone
брайтон,колорадо,соединённые штаты америки,сша,америка	Brighton,_Colorado
виллетте,италия	Villette,_Piedmont
баальбек,ливан	Baalbek
вильяэлес-де-вальдавия,испания	Villaeles_de_Valdavia
акуто,италия	Acuto
вессалико,италия	Vessalico
ачеренца,италия	Acerenza
амелья,италия	Ameglia
вальехера,испания	Vallejera
вильярродриго,испания	Villarrodrigo
аделанто,соединённые штаты америки,сша,америка	Adelanto,_California
валло-ди-нера,италия	Vallo_di_Nera
брайтенштайн,австрия,нижняя австрия,австрия	Breitenstein,_Lower_Austria
ачинск,россия	Achinsk
амбато,эквадор	Ambato,_Ecuador
виллаваллелонга,италия	Villavallelonga
альтавилла-силентина,италия	Altavilla_Silentina
бигарелло,италия	Bigarello
вильяэрмоса,табаско,мексика	Villahermosa
бадалукко,италия	Badalucco
виллантерио,италия	Villanterio
альбала,испания	Albalá
беппу,	Beppu,_Ōita
авдеевка,украина	Avdiivka
бинефар,испания	Binéfar
беллано,италия	Bellano
вильяэспаса,испания	Villaespasa
аррах,индия,индия	Arrah
буссето,италия	Busseto
арсеньев,город,россия,приморский край	Arsenyev
абахас,испания	Abajas
абдулино,россия,оренбургская область	Abdulino
базарган,иран	Bazargan,_Iran
вальпальмас,испания	Valpalmas
вавр,бельгия,бельгия	Wavre
беллегра,италия	Bellegra
бекаси,индонезия	Bekasi
бохум,германия	Bochum
белокуриха,россия,алтайский край	Belokurikha
банана,республика,демократическая республика конго,конго,республика конго,республика,африка	Banana,_Democratic_Republic_of_the_Congo
аккра,гана	Accra
визельбург-ланд,австрия	Wieselburg-Land
аккумоли,италия	Accumoli
биканер,индия	Bikaner
брисбен,австралия	Brisbane
антиполо,	Antipolo
великий устюг,россия,вологодская область	Veliky_Ustyug
бойковице,чехия	Bojkovice
версаль,миссури,соединённые штаты америки,сша,америка	Versailles,_Missouri
бердичев,украина	Berdychiv
бисмарк,дакота,северная дакота,соединённые штаты америки,сша,америка	Bismarck,_North_Dakota
вонгровец,польша	Wągrowiec
абсдорф,австрия	Absdorf
бурхание,турция	Burhaniye
вецца-д’альба,италия	Vezza_d'Alba
вильянуэва-де-богас,	Villanueva_de_Bogas
актау,казахстан	Aktau
агрономика,бразилия	Agronômica,_Santa_Catarina
алегзандрия,город,миннесота,соединённые штаты америки,сша,америка	Alexandria,_Minnesota
вевис,литва	Vievis
братунац,босния и герцеговина	Bratunac
вербания,италия	Verbania
борги,италия	Borghi
вайдор,техас,соединённые штаты америки,сша,америка	Vidor,_Texas
ариньо,	Ariño
арчинаццо-романо,италия	Arcinazzo_Romano
бжеще,польша	Brzeszcze
борго-паче,италия	Borgo_Pace
браунтон,город,миннесота,соединённые штаты америки,сша,америка	Brownton,_Minnesota
боско-маренго,италия	Bosco_Marengo
аудиторе,италия	Auditore
амарони,италия	Amaroni
бриенца,италия	Brienza
валлекорса,италия	Vallecorsa
бесейте,испания	Beceite
аоста,италия	Aosta
вернамхваст,иран	Varnamkhast
бокейхон,	Boqueixón
альмоаха,испания	Almohaja
березовка,область,одесская область,	Berezivka
вулькапродерсдорф,австрия	Wulkaprodersdorf
бад-пираварт,австрия	Bad_Pirawarth
вайден-ам-зе,австрия	Weiden_am_See
альбеттоне,италия	Albettone
армунджа,италия	Armungia
вильясур-де-эррерос,испания	Villasur_de_Herreros
берчето,италия	Berceto
англтон,техас,соединённые штаты америки,сша,америка	Angleton,_Texas
аренцано,италия	Arenzano
анамур,турция	Anamur
амштеттен,австрия	Amstetten,_Lower_Austria
венгожино,польша	Węgorzyno
амфиса,греция	Amfissa
бузет,хорватия	Buzet
биробиджан,россия,еврейская автономная область	Birobidzhan
аксу,город,павлодарская область,казахстан	Aksu,_Kazakhstan
барано-д’искья,италия	Barano_d'Ischia
азола,италия	Asola,_Lombardy
валенсия-де-дон-хуан,испания	Valencia_de_Don_Juan
вельки-кртиш,словакия	Veľký_Krtíš
альба-адриатика,италия	Alba_Adriatica
байкальск,россия,иркутская область	Baykalsk
бармер,индия	Barmer,_Rajasthan
веруно,италия	Veruno
влашим,	Vlašim
виллареджа,италия	Villareggia
блэкфут,город,айдахо,соединённые штаты америки,сша,америка	Blackfoot,_Idaho
бивонджи,италия	Bivongi
бромон,канада	Bromont,_Quebec
веденсвиль,швейцария	Wädenswil
волчин,польша	Wołczyn
баллабио,италия	Ballabio
алессано,италия	Alessano
боойо,испания	Bohoyo
бакман,город,миннесота,соединённые штаты америки,сша,америка	Buckman,_Minnesota
анголо-терме,италия	Angolo_Terme
вараждин,хорватия	Varaždin
амбуситра,	Ambositra
